current_uA,voltage_mV,power_mW
-440.000000,5232.500000,-2.302300
-480.000000,5233.750000,-2.512200
-440.000000,5236.250000,-2.303950
-500.000000,5233.750000,-2.616875
-500.000000,5235.000000,-2.617500
-500.000000,5232.500000,-2.616250
-520.000000,5233.750000,-2.721550
-520.000000,5233.750000,-2.721550
-520.000000,5235.000000,-2.722200
-500.000000,5233.750000,-2.616875
-500.000000,5232.500000,-2.616250
-500.000000,5235.000000,-2.617500
-480.000000,5232.500000,-2.511600
-480.000000,5232.500000,-2.511600
-500.000000,5232.500000,-2.616250
-480.000000,5232.500000,-2.511600
-480.000000,5235.000000,-2.512800
-500.000000,5233.750000,-2.616875
-480.000000,5233.750000,-2.512200
-500.000000,5235.000000,-2.617500
-520.000000,5233.750000,-2.721550
-500.000000,5232.500000,-2.616250
-500.000000,5232.500000,-2.616250
-500.000000,5232.500000,-2.616250
1620.000000,5230.000000,8.472600
2660.000000,5230.000000,13.911800
3580.000000,5228.750000,18.718925
4660.000000,5226.250000,24.354324
5560.000000,5226.250000,29.057949
6360.000000,5228.750000,33.254848
7120.000000,5225.000000,37.202000
8000.000000,5223.750000,41.790001
8780.000000,5223.750000,45.864525
9620.000000,5222.500000,50.240452
10500.000000,5222.500000,54.836250
11180.000000,5222.500000,58.387550
12100.000000,5221.250000,63.177124
12820.000000,5220.000000,66.920403
13700.000000,5218.750000,71.496872
14460.000000,5218.750000,75.463127
15260.000000,5217.500000,79.619049
16320.000000,5217.500000,85.149597
17120.000000,5216.250000,89.302200
17860.000000,5216.250000,93.162224
18720.000000,5215.000000,97.624802
19520.000000,5213.750000,101.772400
20360.000000,5215.000000,106.177399
21120.000000,5213.750000,110.114403
21900.000000,5211.250000,114.126373
22720.000000,5212.500000,118.428001
23520.000000,5212.500000,122.598000
24280.000000,5210.000000,126.498802
25060.000000,5208.750000,130.531281
25900.000000,5210.000000,134.938995
27000.000000,5206.250000,140.568756
27800.000000,5206.250000,144.733749
28420.000000,5205.000000,147.926102
29320.000000,5206.250000,152.647247
30100.000000,5203.750000,156.632874
30880.000000,5205.000000,160.730392
31720.000000,5206.250000,165.142242
32460.000000,5202.500000,168.873154
33220.000000,5203.750000,172.868576
34060.000000,5201.250000,177.154572
34860.000000,5198.750000,181.228424
35560.000000,5201.250000,184.956451
36400.000000,5198.750000,189.234497
37400.000000,5201.250000,194.526749
38300.000000,5196.250000,199.016373
39000.000000,5196.250000,202.653748
39860.000000,5196.250000,207.122528
40660.000000,5193.750000,211.177872
41480.000000,5193.750000,215.436752
42220.000000,5193.750000,219.280121
43020.000000,5192.500000,223.381348
43820.000000,5191.250000,227.480576
44580.000000,5191.250000,231.425919
45420.000000,5190.000000,235.729797
46180.000000,5190.000000,239.674194
46980.000000,5190.000000,243.826202
47760.000000,5187.500000,247.755005
48800.000000,5186.250000,253.089005
49580.000000,5185.000000,257.072296
50220.000000,5187.500000,260.516235
51100.000000,5183.750000,264.889618
51920.000000,5186.250000,269.270111
52620.000000,5182.500000,272.703156
53460.000000,5183.750000,277.123260
54220.000000,5183.750000,281.062927
54900.000000,5181.250000,284.450623
55800.000000,5181.250000,289.113739
56620.000000,5177.500000,293.150055
57460.000000,5178.750000,297.570984
58080.000000,5178.750000,300.781799
59220.000000,5176.250000,306.537537
59900.000000,5178.750000,310.207123
60780.000000,5173.750000,314.460510
61500.000000,5177.500000,318.416260
62260.000000,5173.750000,322.117676
63020.000000,5173.750000,326.049713
63820.000000,5173.750000,330.188721
64720.000000,5170.000000,334.602386
65480.000000,5171.250000,338.613464
66380.000000,5171.250000,343.267578
67060.000000,5168.750000,346.616364
67900.000000,5168.750000,350.958130
68620.000000,5167.500000,354.593842
69720.000000,5166.250000,360.190948
70460.000000,5166.250000,364.013977
71180.000000,5165.000000,367.644714
72100.000000,5165.000000,372.396515
72780.000000,5162.500000,375.726746
73620.000000,5160.000000,379.879211
74400.000000,5161.250000,383.997009
75260.000000,5161.250000,388.435669
75960.000000,5160.000000,391.953613
76720.000000,5158.750000,395.779297
77560.000000,5157.500000,400.015686
78260.000000,5156.250000,403.528137
79080.000000,5156.250000,407.756256
79960.000000,5155.000000,412.193787
80920.000000,5153.750000,417.041443
81720.000000,5153.750000,421.164459
82500.000000,5152.500000,425.081238
83300.000000,5150.000000,428.994995
83980.000000,5150.000000,432.497009
84860.000000,5148.750000,436.922913
85600.000000,5150.000000,440.839996
86380.000000,5146.250000,444.533081
87200.000000,5148.750000,448.971008
87920.000000,5145.000000,452.348389
88800.000000,5145.000000,456.876007
89560.000000,5142.500000,460.562286
90420.000000,5143.750000,465.097870
91460.000000,5141.250000,470.218719
92100.000000,5141.250000,473.509125
92900.000000,5140.000000,477.506012
93660.000000,5138.750000,481.295319
94600.000000,5137.500000,486.007507
95320.000000,5135.000000,489.468201
96080.000000,5135.000000,493.370789
96960.000000,5136.250000,498.010803
97720.000000,5132.500000,501.547913
98460.000000,5133.750000,505.469025
99200.000000,5131.250000,509.019989
100000.000000,5128.750000,512.875000
100860.000000,5130.000000,517.411804
101880.000000,5128.750000,522.517029
102680.000000,5125.000000,526.234985
103480.000000,5127.500000,530.593689
104180.000000,5125.000000,533.922485
105000.000000,5123.750000,537.993774
105860.000000,5123.750000,542.400146
106620.000000,5122.500000,546.160950
107320.000000,5121.250000,549.612549
108100.000000,5120.000000,553.471985
108880.000000,5118.750000,557.329529
109660.000000,5120.000000,561.459229
110500.000000,5115.000000,565.207520
111260.000000,5115.000000,569.094910
111980.000000,5115.000000,572.777710
113020.000000,5116.250000,578.238586
113800.000000,5115.000000,582.086975
114600.000000,5115.000000,586.179016
115400.000000,5111.250000,589.838257
116160.000000,5110.000000,593.577576
116920.000000,5107.500000,597.168884
117680.000000,5108.750000,601.197693
118500.000000,5108.750000,605.386902
119360.000000,5107.500000,609.631226
120080.000000,5106.250000,613.158508
120880.000000,5103.750000,616.941284
121680.000000,5103.750000,621.024292
122580.000000,5102.500000,625.464478
123480.000000,5101.250000,629.902344
124260.000000,5101.250000,633.881348
125000.000000,5098.750000,637.343750
125780.000000,5095.000000,640.849121
126580.000000,5096.250000,645.083313
127380.000000,5093.750000,648.841858
128180.000000,5093.750000,652.916870
129000.000000,5092.500000,656.932495
129800.000000,5091.250000,660.844238
130560.000000,5090.000000,664.550415
131320.000000,5088.750000,668.254639
132080.000000,5088.750000,672.122070
132900.000000,5085.000000,675.796509
133900.000000,5085.000000,680.881470
134680.000000,5082.500000,684.511108
135480.000000,5082.500000,688.577087
136320.000000,5080.000000,692.505615
137100.000000,5078.750000,696.296631
137820.000000,5076.250000,699.608765
138660.000000,5078.750000,704.219482
139360.000000,5075.000000,707.252014
140120.000000,5075.000000,711.109009
140980.000000,5071.250000,714.944824
141780.000000,5070.000000,718.824585
142620.000000,5068.750000,722.905151
143380.000000,5068.750000,726.757385
144180.000000,5067.500000,730.632141
145180.000000,5066.250000,735.518188
145960.000000,5063.750000,739.104980
146760.000000,5061.250000,742.789062
147500.000000,5061.250000,746.534363
148280.000000,5058.750000,750.111450
149100.000000,5057.500000,754.073242
149820.000000,5053.750000,757.152832
150680.000000,5055.000000,761.687378
151480.000000,5053.750000,765.542053
152260.000000,5052.500000,769.293640
153000.000000,5051.250000,772.841248
153860.000000,5048.750000,776.800659
154560.000000,5047.500000,780.141602
155600.000000,5045.000000,785.002014
156420.000000,5043.750000,788.943359
157200.000000,5041.250000,792.484497
