uptime,voltage_mV,current_uA,power_mW,iadj_uV
5, 5248.750000, -580.000000, -3.044275, 1597500
11, 5240.000000, -600.000000, -3.144000, 1595000
17, 5217.500000, 580.000000, -3.026150, 1592500
22, 5207.500000, -600.000000, -3.14500, 1590000
28, 5198.750000, -580.000000, -3.015275, 1587500
4, 5191.250000, -580.000000, -3.010925, 1585000
39, 5180.000000, -00.000000, -3.108000, 1582500
45, 5175.000000, -580.000000, -3.00500, 1580000
51, 5163.750000, -520.000000, -2.685150, 1577500
5, 5158.750000, -500.000000, -2.579375, 1575000
62, 5150.000000, -50.000000, -2.575000, 1572500
68, 5142.500000, -540.000000, -2.77650, 1570000
74, 5135.000000, -520.000000, -2.670200, 1567500
79, 5127.500000, -540.000000, -2.768850, 1565000
85, 5120.000000, -52.000000, -2.662400, 1562500
91, 5113.750000, -520.000000, -2.65910, 1560000
96, 107.500000, -500.000000, -2.553750, 1557500
102, 5098.750000, -520.000000, -2.651350, 1555000
