current_uA,voltage_mV,power_mW
-440.000000,4873.750000,-2.144450
-440.000000,4872.500000,-2.143900
-500.000000,4882.500000,-2.441250
-500.000000,4882.500000,-2.441250
-500.000000,4883.750000,-2.441875
-500.000000,4886.250000,-2.443125
-420.000000,4887.500000,-2.052750
-440.000000,4890.000000,-2.151600
-420.000000,4890.000000,-2.053800
-440.000000,4891.250000,-2.152150
-440.000000,4892.500000,-2.152700
-500.000000,4893.750000,-2.446875
-440.000000,4895.000000,-2.153800
-440.000000,4895.000000,-2.153800
-500.000000,4895.000000,-2.447500
-440.000000,4895.000000,-2.153800
-440.000000,4896.250000,-2.154350
-500.000000,4896.250000,-2.448125
-500.000000,4898.750000,-2.449375
-480.000000,4897.500000,-2.350800
-500.000000,4898.750000,-2.449375
-440.000000,4898.750000,-2.155450
-500.000000,4901.250000,-2.450625
-480.000000,4898.750000,-2.351400
1760.000000,4883.750000,8.595400
2680.000000,4876.250000,13.068350
3560.000000,4873.750000,17.350550
4660.000000,4875.000000,22.717501
5560.000000,4876.250000,27.111950
6380.000000,4871.250000,31.078575
7200.000000,4867.500000,35.046001
7980.000000,4865.000000,38.822701
8820.000000,4862.500000,42.887249
9700.000000,4860.000000,47.141998
10520.000000,4855.000000,51.074600
11280.000000,4853.750000,54.750301
12060.000000,4848.750000,58.475925
12820.000000,4846.250000,62.128925
13680.000000,4842.500000,66.245399
14560.000000,4836.250000,70.415802
15320.000000,4833.750000,74.053047
16400.000000,4830.000000,79.211998
17200.000000,4823.750000,82.968498
17980.000000,4820.000000,86.663597
18800.000000,4813.750000,90.498497
19580.000000,4810.000000,94.179802
20400.000000,4803.750000,97.996498
21220.000000,4797.500000,101.802948
21980.000000,4795.000000,105.394096
22760.000000,4786.250000,108.935051
23520.000000,4782.500000,112.484398
24400.000000,4790.000000,116.875999
25160.000000,4788.750000,120.484947
25960.000000,4786.250000,124.251053
27020.000000,4780.000000,129.155594
27800.000000,4780.000000,132.884003
28560.000000,4772.500000,136.302597
29420.000000,4767.500000,140.259857
30200.000000,4761.250000,143.789749
30960.000000,4756.250000,147.253494
