current_uA,voltage_mV,power_mW
-440.000000,5016.250000,-2.207150
-500.000000,5015.000000,-2.507500
-440.000000,5013.750000,-2.206050
-440.000000,5017.500000,-2.207700
-440.000000,5015.000000,-2.206600
-440.000000,5016.250000,-2.207150
-440.000000,5013.750000,-2.206050
-400.000000,5013.750000,-2.005500
-420.000000,5016.250000,-2.106825
-520.000000,5015.000000,-2.607800
-480.000000,5015.000000,-2.407200
-480.000000,5013.750000,-2.406600
-440.000000,5013.750000,-2.206050
-440.000000,5013.750000,-2.206050
-440.000000,5013.750000,-2.206050
-480.000000,5008.750000,-2.404200
-440.000000,5007.500000,-2.203300
-440.000000,5008.750000,-2.203850
-440.000000,5006.250000,-2.202750
-480.000000,5005.000000,-2.402400
-440.000000,5005.000000,-2.202200
-440.000000,5003.750000,-2.201650
-480.000000,5005.000000,-2.402400
-480.000000,5002.500000,-2.401200
1700.000000,4992.500000,8.487250
2700.000000,4988.750000,13.469625
3660.000000,4986.250000,18.249676
4680.000000,4983.750000,23.323950
5520.000000,4978.750000,27.482700
6380.000000,4978.750000,31.764425
7260.000000,4976.250000,36.127575
8080.000000,4972.500000,40.177799
8900.000000,4968.750000,44.221874
9700.000000,4967.500000,48.184750
10560.000000,4963.750000,52.417198
11400.000000,4961.250000,56.558250
12160.000000,4960.000000,60.313599
13000.000000,4955.000000,64.415001
13800.000000,4953.750000,68.361748
14520.000000,4947.500000,71.837700
15360.000000,4941.250000,75.897598
16460.000000,4935.000000,81.230103
17180.000000,4933.750000,84.761826
18000.000000,4928.750000,88.717499
18880.000000,4923.750000,92.960403
19600.000000,4921.250000,96.456497
20460.000000,4916.250000,100.586472
21220.000000,4912.500000,104.243248
22020.000000,4910.000000,108.118202
22780.000000,4905.000000,111.735901
23600.000000,4898.750000,115.610497
24380.000000,4896.250000,119.370575
25220.000000,4891.250000,123.357323
26020.000000,4887.500000,127.172752
27060.000000,4883.750000,132.154282
27820.000000,4878.750000,135.726822
28600.000000,4872.500000,139.353500
