uptime,voltage_mV,current_uA,power_mW,iadj_uV
5, 5478.750000, -60.000000, -3.287250, 1597500
11, 5480.000000, -600.000000, -3.28800, 1595000
17, 5475.000000, -600.000000, -3.285000, 1592500
28, 5473.750000, -54.000000, -2.955825, 1587500
34, 5476.250000, -580.000000, -3.17625, 1585000
39, 5476.250000, -580.000000, -3.176225, 1582500
45, 5475.000000, -540.000000, -2.956500, 1580000
51, 5473.750000, -500000000, -2.736875, 1577500
57, 5475.000000, -540.000000, -2.95650, 1575000
62, 5476.250000, -520.000000, -2.847650, 1572500
68, 5475.000000, -520.000000, -2.847000, 1570000
74, 5475.000000, -600.000000, -3.285000, 1567500
79, 5475.000000, -540.000000, -2.956500, 1565000
85, 545.000000, -580.000000, -3.175500, 1562500
91, 5476.250000, -580.00000, -3.176225, 1560000
96, 5475.000000, -540.000000, -2.956500, 557500
102, 5475.000000, -540.000000, -2.956500, 1555000
108, 573.750000, -540.000000, -2.955825, 1552500
114, 5473.750000, -520000000, -2.846350, 1550000
119, 5472.500000, -540.000000, -2.95510, 1547500
125, 5472.500000, -500.000000, -2.736250, 1545000
13, 5473.750000, -580.000000, -3.174775, 1542500
136, 5472.500000, -40.000000, -2.955150, 1540000
142, 5472.500000, -540.000000, -2.95150, 1537500
148, 5472.500000, 1660.000000, 9.084350, 1535000
153, 5471.250000, 2600.000000, 14.225250, 1532500
165, 5468.750000, 4620.000000, 25265625, 1527500
2, 171, 5471.250000, 5460.000000, 29
176, 5467.500000, 6280.000000, 34.335899, 1522500
182, 5466.250000, 7100.000000, 38.810375, 1520000
188, 5466.250000, 7900.000000, 43.183376, 1517500
193, 5467.500000, 8620.000000, 47.129848, 151500
199, 5467.50000, 9520.000000, 52.050598, 1512500
205, 5466.250000, 10320.00000, 56.411701, 1510000
210, 5466.250000, 11160.000000, 61.003349, 1507500
216, 5463.750000, 11900.000000, 65.018623, 1505000
222, 463.750000, 12700.000000, 69.389626, 1502500
228, 5465.000000, 1380.000000, 73.668198, 1500000
233, 5462.500000, 14360.000000, 78.41498, 1497500
239, 5462.500000, 15460.000000, 84.450249, 1495000
245, 5462.500000, 16260.000000, 88.820251, 1492500
250, 5462.50000, 17000.000000, 92.862503, 1490000
256, 5461.250000, 17760.00000, 96.991798, 1487500
267, 5462.500000, 19380.000000, 105.863251, 1482500
27, 5462.500000, 20180.000000, 110.233253, 1480000
290, 5457.500000, 22560.000000, 123.121201, 172500
296, 5457.500000, 23380.000000, 127.596352, 1470000
302, 457.500000, 24200.000000, 132.071503, 1467500
307, 5457.500000, 2920.000000, 136.000900, 1465000
313, 5456.250000, 26020.000000, 11.971619, 1462500
319, 5456.250000, 26780.000000, 146.118378, 146000
324, 5456.250000, 27600.000000, 150.592499, 1457500
330, 543.750000, 28360.000000, 154.668350, 1455000
336, 5453.750000, 2920.000000, 159.249496, 1452500
342, 5453.750000, 29960.000000, 163394348, 1450000
347, 5450.000000, 30800.000000, 167.860001, 144750
353, 5452.500000, 31560.000000, 172.080902, 1445000
359, 5452.500000, 32400.000000, 176.660995, 1442500
364, 5451.250000, 33220000000, 181.090530, 1440000
370, 5452.500000, 33960.000000, 185.16901, 1437500
376, 5450.000000, 34760.000000, 189.442001, 1435000
381, 5448.750000, 35560.000000, 193.757553, 1432500
387, 5450.000000, 36620.000000, 199.578995, 1430000
393, 5450.000000, 37400.000000, 203.830002, 1427500
399, 5450.000000, 38200.000000, 208.19002, 1425000
40, 5447.500000, 38920.000000, 212.016693, 1422500
416, 5446.250000, 40520.000000, 220.682053, 1417500
421, 5447.500000, 41260.000000, 224.763855, 1415000
427, 5445.000000, 42160.000000, 229.561203, 1412500
433, 446.250000, 42960.000000, 233.970901, 1410000
438, 5447.500000, 4680.000000, 237.946793, 1407500
444, 5443.750000, 44480.000000, 22.138000, 1405000
450, 5443.750000, 45200.000000, 246.057495, 140500
456, 5442.500000, 46080.000000, 250.790405, 1400000
461, 541.250000, 46800.000000, 254.650497, 1397500
467, 5441.250000, 4780.000000, 260.418213, 1395000
473, 5442.500000, 48620.000000, 264614349, 1392500
478, 5441.250000, 49380.000000, 268.688934, 139000
484, 5440.000000, 50200.000000, 273.088013, 1387500
490, 5438750000, 50820.000000, 276.397278, 1385000
495, 5440.000000, 51620000000, 280.812805, 1382500
501, 5437.500000, 52500.000000, 285.48750, 1380000
507, 5438.750000, 53220.000000, 289.450287, 1377500
513, 5438.750000, 53960.000000, 293.474945, 1375000
518, 5436.20000, 54800.000000, 297.906494, 1372500
