current_uA,voltage_mV,power_mW
-440.000000,4875.000000,-2.145000
-420.000000,4871.250000,-2.045925
-440.000000,4873.750000,-2.144450
-440.000000,4872.500000,-2.143900
-440.000000,4873.750000,-2.144450
-440.000000,4871.250000,-2.143350
-440.000000,4870.000000,-2.142800
-420.000000,4870.000000,-2.045400
-440.000000,4868.750000,-2.142250
-480.000000,4868.750000,-2.337000
-440.000000,4868.750000,-2.142250
-480.000000,4868.750000,-2.337000
-420.000000,4868.750000,-2.044875
-480.000000,4863.750000,-2.334600
-440.000000,4861.250000,-2.138950
-500.000000,4857.500000,-2.428750
-480.000000,4857.500000,-2.331600
-420.000000,4857.500000,-2.040150
-440.000000,4856.250000,-2.136750
-440.000000,4856.250000,-2.136750
-440.000000,4853.750000,-2.135650
-440.000000,4852.500000,-2.135100
-440.000000,4855.000000,-2.136200
-480.000000,4852.500000,-2.329200
1980.000000,4830.000000,9.563400
2960.000000,4823.750000,14.278300
3860.000000,4815.000000,18.585899
5000.000000,4805.000000,24.025000
5820.000000,4800.000000,27.936001
6720.000000,4793.750000,32.214001
7460.000000,4788.750000,35.724075
8360.000000,4780.000000,39.960800
9120.000000,4771.250000,43.513802
