current_uA,voltage_mV,power_mW
-440.000000,4838.750000,-2.129050
-420.000000,4837.500000,-2.031750
-440.000000,4838.750000,-2.129050
-440.000000,4838.750000,-2.129050
-420.000000,4838.750000,-2.032275
-480.000000,4837.500000,-2.322000
-500.000000,4837.500000,-2.418750
-480.000000,4836.250000,-2.321400
-440.000000,4835.000000,-2.127400
-420.000000,4836.250000,-2.031225
-480.000000,4835.000000,-2.320800
-420.000000,4835.000000,-2.030700
-480.000000,4835.000000,-2.320800
-420.000000,4835.000000,-2.030700
-420.000000,4835.000000,-2.030700
-440.000000,4836.250000,-2.127950
-420.000000,4835.000000,-2.030700
-440.000000,4831.250000,-2.125750
-420.000000,4832.500000,-2.029650
-440.000000,4832.500000,-2.126300
-480.000000,4831.250000,-2.319000
-400.000000,4831.250000,-1.932500
-420.000000,4828.750000,-2.028075
-440.000000,4827.500000,-2.124100
1880.000000,4797.500000,9.019300
2880.000000,4788.750000,13.791600
3760.000000,4780.000000,17.972799
