uptime,voltage_mV,current_uA,power_mW,iadj_uV
5, 5402.500000, -600.000000, -3241500, 1597500
11, 5401.250000, -620.000000, -3.348775, 1595000
17, 5392.500000, -620.000000, -3.343350, 1592500
28, 5393.750000, -620.000000, -3.44125, 1587500
34, 5393.750000, -580.000000, -3.128375, 1585000
39, 5395.000000, -640.000000, -3.452800, 1582500
45, 5395.000000, 540.000000, -2.913300, 1580000
51, 5393.750000, -520.000000, -2.84750, 1577500
57, 5393.750000, -540.000000, -2.912625, 1575000
62, 5395.000000, -520.000000, -2.805400, 1572500
68, 5392.500000, -540.000000, -2.911950, 1570000
74, 5393.750000, -540.000000, -2.91625, 1567500
7, 5395.000000, -500.000000, -2.697500, 1565000
85, 5395.000000, -540.000000, -2.913300, 1562500
91, 5395.000000, -540.000000, -2.913300, 1560000
96, 5395.000000, -540.000000, -2.91300, 1557500
10, 5393.750000, -540.000000, -2.912625, 1555000
108, 5393.750000, -580.000000, -3.128375, 1552500
114, 5392.500000, -520.000000, -2.804100, 1550000
119, 5392.500000, -540.000000, -2.11950, 1547500
125, 5393.750000, -540.000000, -2.912625, 1545000
131, 5396.25000, -520.000000, -2.806050, 1542500
142, 5395.000000, -540.000000, -2.913300, 1537500
148, 5390.000000, 1560.000000, 8.408400, 1535000
153, 5388.75000, 2460.000000, 13.256325, 1532500
165, 5386.250000, 4500.000000, 24.238125, 1527500
171, 5386.250000, 5320.000000, 28.654850, 1525000
176, 5385.00000, 6080.000000, 32.740799, 1522500
182, 5385.000000, 6980.00000, 37.587299, 1520000
188, 5382.500000, 7760.000000, 41.768200, 117500
193, 5385.000000, 8600.000000, 46.311001, 1515000
199, 532.500000, 9420.000000, 50.703152, 1512500
205, 5381.250000, 10220000000, 54.996376, 1510000
210, 5381.250000, 11060.000000, 59.51624, 1507500
216, 5380.000000, 11820.000000, 63.591599, 1505000
22, 5378.750000, 12600.000000, 67.772247, 1502500
228, 5378.75000, 13380.000000, 71.967674, 1500000
239, 5375.000000, 15320.000000, 82.345001, 149000
245, 5376.250000, 16060.000000, 86.342575, 1492500
250, 537.500000, 16860.000000, 90.664650, 1490000
256, 5373.750000, 17700000000, 95.115372, 1487500
262, 5372.500000, 18480.000000, 99.28398, 1485000
267, 5372.500000, 19280.000000, 103.581802, 1482500
273, 5372.500000, 20020.000000, 107.557449, 1480000
279, 5370.00000, 20900.000000, 112.233002, 1477500
285, 5370.000000, 21660.00000, 116.314201, 1475000
290, 5370.000000, 22400.000000, 120.28800, 1472500
296, 5368.750000, 23180.000000, 124.447624, 1470000
32, 5367.500000, 24020.000000, 128.927353, 1467500
307, 5366.25000, 24860.000000, 133.404968, 1465000
313, 5366.250000, 25920.00000, 139.093201, 1462500
319, 5365.000000, 26660.000000, 143.030899, 460000
324, 5362.500000, 27480.000000, 147.361496, 1457500
330, 5363.750000, 28300.000000, 151.794128, 1455000
336, 5363.750000, 9100.000000, 156.085129, 1452500
342, 5362.500000, 29880.000000, 60.231506, 1450000
347, 5360.000000, 30720.000000, 164.659195, 147500
353, 5360.000000, 31380.000000, 168.196793, 1445000
359, 560.000000, 32220.000000, 172.699203, 1442500
364, 5360.000000, 3300.000000, 176.880005, 1440000
370, 5358.750000, 33860.000000, 18.447281, 1437500
376, 5357.500000, 34660.000000, 185.690948, 143500
381, 5353.750000, 35500.000000, 190.058121, 1432500
387, 535.250000, 36580.000000, 195.931625, 1430000
393, 5356.250000, 3736.000000, 200.109497, 1427500
399, 5353.750000, 38120.000000, 204.84946, 1425000
404, 5351.250000, 38960.000000, 208.484695, 142250
410, 5352.500000, 39700.000000, 212.494247, 1420000
416, 5351.50000, 40480.000000, 216.618607, 1417500
421, 5350.000000, 41260.00000, 220.740997, 1415000
427, 5350.000000, 42120.000000, 225.34995, 1412500
433, 5347.500000, 42920.000000, 229.514694, 1410000
438, 5348.750000, 43680.000000, 233.633408, 1407500
444, 5347.500000, 44420.000000, 237.535950, 1405000
450, 5345.000000, 45160.00000, 241.380203, 1402500
456, 5345.000000, 45960.000000, 245.65624, 1400000
461, 5342.500000, 46760.000000, 249.815308, 1397500
467, 5342.500000, 47820.000000, 255.478348, 1395000
473, 5341.250000, 48580.000000, 259.477936, 1392500
478, 5340.000000, 49280.00000, 263.155212, 1390000
490, 5337.500000, 50900.000000, 271.678741, 1385000
495, 5337.500000, 51680.000000, 275.842010, 1382500
501, 5337.500000, 52380.000000, 279.578247, 1380000
513, 5336.250000, 53960.000000, 287.944061, 175000
518, 5333.750000, 54720.000000, 291.862793, 1372500
524, 5332.500000, 55560.000000, 296.273712, 1370000
530, 5332.500000, 56220.000000, 299.793152, 1367500
535, 5332.500000, 57160.000000, 34.805695, 1365000
541, 5330.000000, 58120.000000, 309.779602, 136500
547, 5330.00000, 58880.000000, 313.830414, 1360000
552, 5328.750000, 59720.000000, 318.232941, 1357500
558, 5327.500000, 60500.000000, 322.313751, 1355000
564, 5325.000000, 61200.000000, 325890015, 1352500
2, 570, 5326.250000, 62060.000000, 330
575, 5323.75000, 62760.000000, 334.118561, 1347500
581, 5323.750000, 63560.000000, 338.377563, 1345000
587, 5322.500000, 64280.000000, 342.130310, 1342500
592, 5322.500000, 65080.000000, 346.388306, 1340000
98, 5320.000000, 65820.000000, 350.162415, 1337500
604, 5320.00000, 66520.000000, 353.886414, 1335000
609, 5317.500000, 67380.00000, 358.293152, 1332500
615, 5318.750000, 68260.000000, 363.057861, 1330000
621, 5315.000000, 69100.000000, 367.266510, 1327500
62, 5315.000000, 69820.000000, 371.093292, 1325000
644, 5313.750000, 72100.000000, 383.121368, 1317500
649, 5312.500000, 72860.000000, 387.068756, 1315000
655, 311.250000, 73660.000000, 391.226685, 1312500
661, 5308.750000, 7380.000000, 394.864838, 1310000
666, 5310.000000, 75180.000000, 39.205811, 1307500
672, 5308.750000, 76460.000000, 405.907013, 1305000
678, 5305.000000, 77280.000000, 409.970398, 1302500
684, 535.000000, 78020.000000, 413.896088, 1300000
689, 5303.750000, 7880.000000, 417.935486, 1297500
695, 5301.250000, 79880.000000, 423463837, 1295000
701, 5300.000000, 80680.000000, 427.604004, 1292500
706, 5301.250000, 81500.000000, 432.051880, 1290000
712, 5301250000, 82280.000000, 436.186859, 1287500
718, 5298.750000, 83060000000, 440.114166, 1285000
723, 5296.250000, 83800.000000, 443.85745, 1282500
729, 5295.000000, 84560.000000, 447.745209, 1280000
735, 5293.750000, 85360.000000, 451.874512, 1277500
741, 5293.70000, 86200.000000, 456.321259, 1275000
746, 5293.750000, 87000.00000, 460.556244, 1272500
752, 5290.000000, 87680.000000, 463.82709, 1270000
758, 5288.750000, 88560.000000, 468.371704, 1267500
763, 5287.500000, 89360.000000, 472.490997, 1265000
769, 5291.25000, 90380.000000, 478.223175, 1262500
775, 5286.250000, 91200.00000, 482.105988, 1260000
780, 5286.250000, 91900.000000, 485.80636, 1257500
786, 5286.250000, 92700.000000, 490.035370, 1255000
72, 5283.750000, 93480.000000, 493.924957, 1252500
798, 5282.50000, 94360.000000, 498.456696, 1250000
803, 5278.750000, 95100.00000, 502.009125, 1247500
809, 5278.750000, 95820.000000, 505.809814, 245000
815, 5278.750000, 96620.000000, 510.032837, 1242500
820, 5276.250000, 97400.000000, 513.906738, 1240000
826, 5276.250000, 8260.000000, 518.444336, 1237500
832, 5273.750000, 99060.000000, 22.417664, 1235000
837, 5275.000000, 99800.000000, 526.445007, 122500
843, 5272.500000, 100820.000000, 531.573425, 1230000
849, 5270.000000, 101760.000000, 536.275208, 1227500
855, 5268.750000, 102420.000000, 539.625366, 1225000
860, 5266.250000, 103160.00000, 543.266357, 1222500
872, 5265.000000, 104760.000000, 551.561401, 1217500
877, 5265.000000, 15500.000000, 555.457520, 1215000
883, 5261.250000, 106300.000000, 559.270874, 1212500
889, 5260.000000, 107080.00000, 563.240784, 1210000
894, 5260.000000, 107960.000000, 567.86929, 1207500
90, 5260.000000, 108660.000000, 571.551575, 1205000
906, 5257.500000, 109400.000000, 575.170471, 1202500
912, 5257.500000, 110260.000000, 579.691956, 1200000
917, 5253.750000, 110960.000000, 582.956116, 1197500
923, 5252.500000, 112000.000000, 588.80029, 1195000
929, 5251.250000, 112820.000000, 592.446045, 119250
934, 5250.00000, 113580.000000, 596.294983, 1190000
940, 5250.000000, 114320.000000, 600.179993, 1187500
946, 5247.500000, 115160.000000, 604.302124, 1185000
951, 5247.500000, 115960.000000, 608.500122, 1182500
957, 5245.000000, 116760.000000, 612.406189, 11
