current_uA,voltage_mV,power_mW
-540.000000,5366.250000,-2.897775
-540.000000,5368.750000,-2.899125
-540.000000,367.500000,-2.898450
-520.000000,5366.250000,-2.70450
-520.00000,5367.500000,-2.791100
-480.000000,5370.000000,-2.57600
-580.00000,5367.500000,-3.113150
-50.000000,5367.500000,-2.683750
-520.000000,5366.250000,-2.790450
-50.000000,5367.500000,-2.791100
-540.000000,5365.000000,-2.897100
-520.000000,5367.500000,-2.791100
-520.000000,5366.250000,-2.790450
-520.000000,5366.20000,-2.790450
-580.000000,5366.250000,-3.112425
-540.000000,567.500000,-2.898450
-540.000000,5366.250000,-2.897775
2460.000000,5362.500000,13.191
