current_uA,voltage_mV,power_mW
-500.000000,5071.250000,-2.535625
-480.000000,5070.000000,-2.433600
-400.000000,5070.000000,-2.028000
-440.000000,5071.250000,-2.231350
-540.000000,5068.750000,-2.737125
-500.000000,5070.000000,-2.535000
-480.000000,5068.750000,-2.433000
-500.000000,5070.000000,-2.535000
-440.000000,5067.500000,-2.229700
-480.000000,5068.750000,-2.433000
-500.000000,5066.250000,-2.533125
-480.000000,5066.250000,-2.431800
-500.000000,5068.750000,-2.534375
-480.000000,5068.750000,-2.433000
-500.000000,5067.500000,-2.533750
-520.000000,5068.750000,-2.635750
-520.000000,5066.250000,-2.634450
-500.000000,5066.250000,-2.533125
-440.000000,5060.000000,-2.226400
-520.000000,5058.750000,-2.630550
-480.000000,5056.250000,-2.427000
-520.000000,5057.500000,-2.629900
-520.000000,5058.750000,-2.630550
-480.000000,5056.250000,-2.427000
1900.000000,5048.750000,9.592625
2820.000000,5047.500000,14.233950
3760.000000,5045.000000,18.969200
4920.000000,5041.250000,24.802950
5780.000000,5040.000000,29.131201
6600.000000,5037.500000,33.247501
7420.000000,5035.000000,37.359699
8220.000000,5036.250000,41.397976
9060.000000,5033.750000,45.605774
9880.000000,5033.750000,49.733452
10700.000000,5027.500000,53.794250
11420.000000,5028.750000,57.428326
12300.000000,5025.000000,61.807499
13080.000000,5022.500000,65.694298
13860.000000,5023.750000,69.629173
14680.000000,5020.000000,73.693604
15500.000000,5018.750000,77.790627
16600.000000,5017.500000,83.290497
17400.000000,5010.000000,87.174004
18180.000000,5006.250000,91.013626
18880.000000,5003.750000,94.470802
19820.000000,5000.000000,99.099998
20560.000000,4997.500000,102.748596
21360.000000,4995.000000,106.693199
22180.000000,4993.750000,110.761375
22980.000000,4990.000000,114.670197
23720.000000,4988.750000,118.333153
24600.000000,4986.250000,122.661751
25320.000000,4983.750000,126.188553
26160.000000,4980.000000,130.276794
27180.000000,4977.500000,135.288452
28020.000000,4977.500000,139.469543
28800.000000,4972.500000,143.207993
29620.000000,4970.000000,147.211395
30400.000000,4970.000000,151.087997
31180.000000,4965.000000,154.808701
32020.000000,4963.750000,158.939270
32800.000000,4962.500000,162.770004
33600.000000,4961.250000,166.697998
34320.000000,4957.500000,170.141403
35100.000000,4956.250000,173.964371
35880.000000,4953.750000,177.740555
36720.000000,4943.750000,181.534500
37720.000000,4937.500000,186.242493
38520.000000,4935.000000,190.096207
39400.000000,4930.000000,194.242004
40180.000000,4925.000000,197.886505
40900.000000,4922.500000,201.330246
41700.000000,4918.750000,205.111877
42600.000000,4912.500000,209.272507
43360.000000,4911.250000,212.951797
44200.000000,4907.500000,216.911499
45020.000000,4902.500000,220.710556
45800.000000,4897.500000,224.305496
46600.000000,4896.250000,228.165253
47300.000000,4892.500000,231.415253
48120.000000,4886.250000,235.126343
