current_uA,voltage_mV,power_mW
-480.000000,4835.000000,-2.320800
-440.000000,4836.250000,-2.127950
-440.000000,4837.500000,-2.128500
-500.000000,4838.750000,-2.419375
-440.000000,4840.000000,-2.129600
-400.000000,4838.750000,-1.935500
-440.000000,4840.000000,-2.129600
-480.000000,4843.750000,-2.325000
-440.000000,4842.500000,-2.130700
-440.000000,4842.500000,-2.130700
-440.000000,4841.250000,-2.130150
-420.000000,4843.750000,-2.034375
-440.000000,4845.000000,-2.131800
-420.000000,4843.750000,-2.034375
-480.000000,4841.250000,-2.323800
-440.000000,4847.500000,-2.132900
-440.000000,4843.750000,-2.131250
-440.000000,4846.250000,-2.132350
-440.000000,4845.000000,-2.131800
-440.000000,4845.000000,-2.131800
-440.000000,4850.000000,-2.134000
-440.000000,4850.000000,-2.134000
-480.000000,4851.250000,-2.328600
-380.000000,4852.500000,-1.843950
1780.000000,4827.500000,8.592950
2760.000000,4820.000000,13.303200
3600.000000,4813.750000,17.329500
4760.000000,4802.500000,22.859900
5580.000000,4798.750000,26.777025
6400.000000,4792.500000,30.672001
7280.000000,4786.250000,34.843899
8100.000000,4777.500000,38.697750
8920.000000,4772.500000,42.570702
9860.000000,4763.750000,46.970573
10600.000000,4753.750000,50.389751
