current_uA,voltage_mV,power_mW
-480.000000,5166.250000,-2.479800
-480.000000,5167.500000,-2.480400
-540.000000,5166.250000,-2.789775
-440.000000,5167.500000,-2.273700
-500.000000,5167.500000,-2.583750
-520.000000,5163.750000,-2.685150
-500.000000,5166.250000,-2.583125
-480.000000,5166.250000,-2.479800
-500.000000,5162.500000,-2.581250
-480.000000,5163.750000,-2.478600
-500.000000,5165.000000,-2.582500
-500.000000,5162.500000,-2.581250
-520.000000,5163.750000,-2.685150
-500.000000,5163.750000,-2.581875
-480.000000,5163.750000,-2.478600
-500.000000,5163.750000,-2.581875
-500.000000,5162.500000,-2.581250
-500.000000,5162.500000,-2.581250
-500.000000,5163.750000,-2.581875
-500.000000,5160.000000,-2.580000
-520.000000,5160.000000,-2.683200
-520.000000,5158.750000,-2.682550
-500.000000,5158.750000,-2.579375
-500.000000,5156.250000,-2.578125
1780.000000,5152.500000,9.171450
2720.000000,5151.250000,14.011400
3660.000000,5148.750000,18.844425
4760.000000,5145.000000,24.490200
5620.000000,5143.750000,28.907875
6480.000000,5145.000000,33.339600
7360.000000,5141.250000,37.839600
8120.000000,5142.500000,41.757099
8860.000000,5140.000000,45.540401
9800.000000,5138.750000,50.359749
10580.000000,5138.750000,54.367973
11360.000000,5137.500000,58.362000
12160.000000,5133.750000,62.426399
12960.000000,5135.000000,66.549599
13760.000000,5132.500000,70.623199
14600.000000,5133.750000,74.952751
15380.000000,5133.750000,78.957077
16380.000000,5131.250000,84.049873
17200.000000,5130.000000,88.236000
18020.000000,5125.000000,92.352501
18860.000000,5123.750000,96.633926
19680.000000,5122.500000,100.810799
20500.000000,5121.250000,104.985626
21200.000000,5118.750000,108.517502
22060.000000,5115.000000,112.836899
22860.000000,5113.750000,116.900322
23560.000000,5112.500000,120.450500
24400.000000,5112.500000,124.745003
25180.000000,5110.000000,128.669800
26000.000000,5106.250000,132.762497
27020.000000,5105.000000,137.937103
27820.000000,5105.000000,142.021103
28620.000000,5105.000000,146.105103
29500.000000,5103.750000,150.560623
30320.000000,5100.000000,154.632004
31000.000000,5101.250000,158.138748
31820.000000,5098.750000,162.242218
32580.000000,5096.250000,166.035828
33480.000000,5097.500000,170.664307
34180.000000,5093.750000,174.104370
34980.000000,5095.000000,178.223099
35780.000000,5092.500000,182.209656
36620.000000,5092.500000,186.487350
37600.000000,5086.250000,191.242996
38400.000000,5083.750000,195.216003
39280.000000,5082.500000,199.640594
40000.000000,5080.000000,203.199997
40880.000000,5077.500000,207.568207
41620.000000,5076.250000,211.273529
42500.000000,5073.750000,215.634369
43280.000000,5073.750000,219.591904
44020.000000,5068.750000,223.126373
44780.000000,5067.500000,226.922653
45580.000000,5067.500000,230.976654
46420.000000,5065.000000,235.117294
47100.000000,5063.750000,238.502625
47880.000000,5062.500000,242.392502
49080.000000,5060.000000,248.344803
49800.000000,5060.000000,251.988007
50600.000000,5056.250000,255.846252
51300.000000,5055.000000,259.321503
52120.000000,5053.750000,263.401459
52880.000000,5051.250000,267.110107
53680.000000,5051.250000,271.151093
54460.000000,5048.750000,274.954926
55360.000000,5046.250000,279.360413
56120.000000,5045.000000,283.125397
56860.000000,5040.000000,286.574402
57700.000000,5038.750000,290.735870
58400.000000,5033.750000,293.971008
59400.000000,5030.000000,298.782013
60260.000000,5027.500000,302.957153
61020.000000,5025.000000,306.625488
61780.000000,5022.500000,310.290039
62600.000000,5021.250000,314.330261
63320.000000,5017.500000,317.708099
64180.000000,5016.250000,321.942932
64980.000000,5013.750000,325.793488
65700.000000,5011.250000,329.239136
66420.000000,5008.750000,332.681183
67260.000000,5006.250000,336.720367
68120.000000,5003.750000,340.855438
68760.000000,5003.750000,344.057861
69800.000000,5000.000000,349.000000
70620.000000,4998.750000,353.011719
71480.000000,4995.000000,357.042603
72200.000000,4993.750000,360.548737
72980.000000,4991.250000,364.261414
73820.000000,4991.250000,368.454071
74580.000000,4988.750000,372.060974
75380.000000,4986.250000,375.863525
76160.000000,4980.000000,379.276794
76960.000000,4975.000000,382.876007
77780.000000,4970.000000,386.566589
78560.000000,4967.500000,390.246796
79380.000000,4963.750000,394.022461
80160.000000,4958.750000,397.493408
81180.000000,4956.250000,402.348389
82000.000000,4951.250000,406.002502
82660.000000,4947.500000,408.960358
83560.000000,4943.750000,413.099762
84320.000000,4940.000000,416.540802
