current_uA,voltage_mV,power_mW
-440.000000,4820.000000,-2.120800
-440.000000,4820.000000,-2.120800
-500.000000,4823.750000,-2.411875
-480.000000,4826.250000,-2.316600
-480.000000,4825.000000,-2.316000
-480.000000,4823.750000,-2.315400
-420.000000,4825.000000,-2.026500
-440.000000,4827.500000,-2.124100
-420.000000,4830.000000,-2.028600
-500.000000,4828.750000,-2.414375
-440.000000,4830.000000,-2.125200
-440.000000,4830.000000,-2.125200
-440.000000,4828.750000,-2.124650
-440.000000,4830.000000,-2.125200
-440.000000,4831.250000,-2.125750
-440.000000,4830.000000,-2.125200
-420.000000,4833.750000,-2.030175
-440.000000,4832.500000,-2.126300
-440.000000,4832.500000,-2.126300
-440.000000,4840.000000,-2.129600
-440.000000,4838.750000,-2.129050
-440.000000,4840.000000,-2.129600
-440.000000,4842.500000,-2.130700
-480.000000,4843.750000,-2.325000
1860.000000,4822.500000,8.969850
2860.000000,4811.250000,13.760175
3720.000000,4808.750000,17.888550
4860.000000,4798.750000,23.321924
5700.000000,4796.250000,27.338625
6560.000000,4790.000000,31.422400
7360.000000,4785.000000,35.217602
8260.000000,4776.250000,39.451824
8980.000000,4771.250000,42.845825
9860.000000,4763.750000,46.970573
10620.000000,4758.750000,50.537926
11500.000000,4750.000000,54.625000
12320.000000,4743.750000,58.443001
13020.000000,4735.000000,61.649700
13920.000000,4727.500000,65.806801
14680.000000,4721.250000,69.307953
