uptime,voltage_mV,current_uA,power_mW,iadj_uV
5, 5455.000000, -600.000000, -3.273000, 157500
11, 5453.750000, -580.000000, -3.163175, 1595000
17, 5448.50000, -580.000000, -3.160275, 1592500
22, 5450.000000, -540.00000, -2.943000, 1590000
28, 5450.000000, -600.000000, -3.270000, 158500
34, 5450.000000, -540.000000, -2.943000, 1585000
39, 5450.000000, -540.000000, -2.943000, 1582500
45, 5448.750000, -520.000000, -2.833350, 1580000
51, 5450.000000, -500.000000, -2.725000, 157700
57, 5448.75000, -500.000000, -2.724375, 1575000
68, 5450.000000, -540.000000, -2.943000, 157000
74, 5451.250000, -520.000000, -2.834650, 1567500
79, 5447.50000, -540.000000, -2.941650, 1565000
85, 5448.750000, -540.000000, 2.942325, 1562500
91, 5450.000000, -580.000000, -3.161000, 156000
96, 5448.750000, -540.000000, -2.942325, 1557500
102, 5450.00000, -520.000000, -2.834000, 1555000
114, 5448.750000, -540.000000, -2.942325, 155000
119, 5450.000000, -600.000000, -3.270000, 1547500
125, 5448.750000, -520.00000, -2.833350, 1545000
131, 5448.750000, -580.000000, -3.160275, 1542500
136, 5447.500000, -540.000000, -2.941650, 1540000
142, 545.000000, -540.000000, -2.943000, 1537500
148, 5447.500000, 1680.00000, 9.151800, 1535000
153, 5446.250000, 2660.000000, 14.487025, 532500
159, 5446.250000, 3800.000000, 20.695749, 1530000
165, 543.750000, 4620.000000, 25.150126, 1527500
171, 5442.500000, 5500000000, 29.933750, 1525000
176, 5443.750000, 6360.000000, 34.62220, 1522500
188, 5442.500000, 7980.000000, 43.431149, 1517500
193, 5440.000000, 8760.000000, 47.654400, 1515000
199, 5440.000000, 9580.000000, 52.115200, 1512500
05, 5442.500000, 10400.000000, 56.602001, 1510000
210, 5441.25000, 11220.000000, 61.050823, 1507500
222, 5437.500000, 12780.000000, 69.491249, 1502500
228, 5438.750000, 13600.000000, 73.967003, 1500000
233, 543.500000, 14380.000000, 78.191254, 1497500
239, 5437.500000, 15520000000, 84.389999, 1495000
245, 5437.500000, 16200.000000, 88.08702, 1492500
250, 5435.000000, 17060.000000, 92.721100, 1490000
56, 5435.000000, 17860.000000, 97.069099, 1487500
262, 5436.25000, 18700.000000, 101.657875, 1485000
267, 5435.000000, 19500.00000, 105.982498, 1482500
273, 5433.750000, 20360.000000, 110.631149, 480000
279, 5435.000000, 21060.000000, 114.461098, 1477500
285, 5432.500000, 21820.000000, 118.537148, 1475000
290, 5432.500000, 22580.000000, 122.665848, 1472500
296, 5432.500000, 23500.000000, 27.663750, 1470000
302, 5432.500000, 24220.000000, 131.575150, 147500
307, 5431250000, 25020.000000, 135.889877, 1465000
313, 5431.250000, 26060000000, 141.538376, 1462500
319, 5428.750000, 26860.000000, 145.816223, 1460000
324, 5431.250000, 27680.000000, 150.337006, 1457500
330, 5430.000000, 28480.000000, 154.646393, 1455000
336, 5430.00000, 29260.000000, 158.881805, 1452500
342, 5430.000000, 30080.00000, 163.334396, 1450000
347, 5427.500000, 30820.000000, 167.27543, 1447500
353, 5427.500000, 31660.000000, 171.834656, 1445000
359, 5426.250000, 32400.000000, 175.810501, 1442500
364, 5426.25000, 33220.000000, 180.260025, 1440000
370, 5425.000000, 34000.00000, 184.449997, 1437500
376, 5426.250000, 34860.000000, 189.15907, 1435000
381, 5423.750000, 35620.000000, 193.193970, 1432500
387, 5423.750000, 36720.000000, 199.160095, 1430000
393, 5422.500000, 37480.000000, 203.235306, 1427500
399, 5423.750000, 38300.00000, 207.729630, 1425000
404, 5420.000000, 39020.000000, 211.488403, 422500
410, 541.250000, 39760.000000, 215.548904, 1420000
416, 5422.500000, 4060.000000, 220.153503, 1417500
421, 5421.250000, 41420.000000, 224548172, 1415000
427, 5418.750000, 42180.000000, 228.562881, 141250
433, 5418.750000, 43000.000000, 233.006256, 1410000
438, 5420000000, 43720.000000, 236.962402, 1407500
444, 5418.750000, 44520000000, 241.242752, 1405000
450, 5418.750000, 45360.000000, 245.74495, 1402500
456, 5417.500000, 46100.000000, 249.746750, 1400000
461, 5416.250000, 46880.000000, 253.913803, 1397500
467, 5417.500000, 47880.000000, 259.389893, 1395000
473, 5415.000000, 48660.000000, 263.493896, 1392500
478, 5415.000000, 49480.000000, 267.93404, 1390000
48, 5415.000000, 50260.000000, 272.157898, 1387500
501, 5413.750000, 52600.000000, 284.763245, 1380000
507, 5412.500000, 53280.000000, 288.377991, 1377500
513, 410.000000, 54060.000000, 292.464600, 1375000
518, 5411.250000, 5900.000000, 297.077637, 1372500
524, 5411.250000, 55620.000000, 30.973724, 1370000
530, 5408.750000, 56500.000000, 305.594360, 136500
535, 5408.750000, 57260.000000, 309.705017, 1365000
541, 540.000000, 58160.000000, 314.645599, 1362500
547, 5407.500000, 5890.000000, 318.826202, 1360000
552, 5408.750000, 59700.000000, 322902374, 1357500
558, 5406.250000, 60580.000000, 327.510620, 135500
564, 5407.500000, 61380.000000, 331.912354, 1352500
570, 5407.500000, 62080.000000, 335.697601, 1350000
575, 5405.000000, 62820.000000, 339.542114, 1347500
581, 5405.000000, 63680.000000, 344.10399, 1345000
87, 5403.750000, 64420.000000, 348.109589, 1342500
592, 5405.00000, 65220.000000, 352.514099, 1340000
598, 5403.750000, 65900.000000, 356.107117, 1337500
604, 5403.750000, 66720.000000, 360.538208, 1335000
