uptime,voltage_mV,current_uA,power_mW,iadj_uV
11, 5418.750000, -62.000000, -3.359625, 1595000
17, 5413.750000, -540.000000, -2.92345, 1592500
22, 5412.500000, -540.000000, -2.922750, 1590000
28, 413.750000, -580.000000, -3.139975, 1587500
34, 5413.750000, -540000000, -2.923425, 1585000
39, 5412.500000, -600.000000, -3.24750, 1582500
45, 5413.750000, -600.000000, -3.248250, 1580000
51, 511.250000, -520.000000, -2.813850, 1577500
57, 5413.750000, -520.00000, -2.815150, 1575000
68, 5412.500000, -540.000000, -2.922750, 1570000
74, 542.500000, -520.000000, -2.814500, 1567500
79, 5413.750000, -580.00000, -3.139975, 1565000
85, 5413.750000, -540.000000, -2.923425, 562500
91, 5412.500000, -540.000000, -2.922750, 1560000
96, 541.250000, -500.000000, -2.705625, 1557500
102, 5413.750000, -540.00000, -2.923425, 1555000
114, 5412.500000, -500.000000, -2.706250, 1550000
119, 5412.500000, -540.000000, -2.922750, 1547500
125, 5413.750000, -54.000000, -2.923425, 1545000
131, 5412.500000, -540.000000, -2.92250, 1542500
136, 5412.500000, -520.000000, -2.814500, 1540000
142, 5412.500000, -540.000000, -2.922750, 1537500
148, 5410.000000, 460.000000, 7.898600, 1535000
153, 5407.500000, 2400.000000, 12.98000, 1532500
59, 5406.250000, 3560.000000, 19.246250, 1530000
165, 5406.250000, 4460.000000, 24.111876, 1527500
171, 5405.000000, 5200.000000, 28.106001, 1525000
176, 5403.750000, 6060.000000, 3.746723, 1522500
182, 5405.000000, 6900.000000, 37.294498, 152000
188, 5402.500000, 7700.000000, 41.599251, 1517500
193, 5402.500000, 8580.000000, 46.353451, 1515000
199, 5400.000000, 9360.00000, 50.543999, 1512500
205, 5401.250000, 10120.000000, 54.660648, 150000
210, 5398750000, 10980.000000, 59.278275, 1507500
216, 5398.750000, 11760.000000, 63.489300, 1505000
222, 5398.750000, 12600.000000, 68.024246, 1502500
228, 5396.250000, 13360.000000, 72.09903, 1500000
23, 5397.500000, 14100.000000, 76.104752, 1497500
239, 5395.000000, 15180.000000, 81.896103, 1495000
245, 5393.750000, 16020.000000, 86.407875, 1492500
250, 5395.000000, 16820.00000, 90.743896, 1490000
256, 5393.750000, 17620.000000, 95.037872, 147500
262, 5392.500000, 18400.000000, 99.222000, 1485000
267, 5390.000000, 19220.000000, 103.595802, 1482500
273, 5391.250000, 1990.000000, 107.717178, 1480000
279, 5390.000000, 20800.000000, 112112000, 1477500
285, 5388.750000, 21600.000000, 116.397003, 147500
290, 5387.500000, 22320.000000, 120.249001, 1472500
296, 5387500000, 23120.000000, 124.558998, 1470000
302, 5386.250000, 23980000000, 129.162277, 1467500
307, 5385.000000, 24720.000000, 133.17203, 1465000
313, 5386.250000, 25880.000000, 139.396149, 1462500
319, 5382.500000, 26660.000000, 143.497452, 1460000
324, 5382.50000, 27400.000000, 147.480499, 1457500
330, 5382.500000, 28200.00000, 151.786499, 1455000
336, 5381.250000, 28960.000000, 155.84103, 1452500
342, 5381.250000, 29820.000000, 160.468872, 1450000
347, 5380.000000, 30600.000000, 164.628006, 1447500
353, 5380.00000, 31360.000000, 168.716797, 1445000
359, 5378.750000, 32200.00000, 173.195755, 1442500
364, 5377.500000, 33000.000000, 177.45750, 1440000
370, 5376.250000, 33720.000000, 181.287155, 1437500
36, 5375.000000, 34560.000000, 185.759995, 1435000
381, 5375.00000, 35400.000000, 190.274994, 1432500
387, 5373.750000, 36560.00000, 196.464294, 1430000
393, 5373.750000, 37280.000000, 200.333405, 427500
399, 5373.750000, 38000.000000, 204.202499, 1425000
410, 5370.000000, 9680.000000, 213.081604, 1420000
416, 5368.750000, 40480.000000, 17.326996, 1417500
421, 5371.250000, 41160.000000, 221.080643, 1415000
427, 5367.500000, 41920.000000, 225.005600, 1412500
433, 565.000000, 42720.000000, 229.192795, 1410000
438, 5367.500000, 4300.000000, 233.486252, 1407500
444, 5365.000000, 44280.000000, 23.562195, 1405000
450, 5366.250000, 45200.000000, 242.554504, 140200
456, 5362.500000, 45860.000000, 245.924255, 1400000
461, 536.500000, 46700.000000, 250.428757, 1397500
467, 5362.500000, 4762.000000, 255.362244, 1395000
473, 5361.250000, 48460.000000, 259.06183, 1392500
