current_uA,voltage_mV,power_mW
-440.000000,4837.500000,-2.128500
-440.000000,4837.500000,-2.128500
-420.000000,4840.000000,-2.032800
-440.000000,4841.250000,-2.130150
-440.000000,4841.250000,-2.130150
-420.000000,4837.500000,-2.031750
-440.000000,4843.750000,-2.131250
-440.000000,4842.500000,-2.130700
-440.000000,4843.750000,-2.131250
-440.000000,4845.000000,-2.131800
-420.000000,4843.750000,-2.034375
-440.000000,4843.750000,-2.131250
-420.000000,4845.000000,-2.034900
-480.000000,4845.000000,-2.325600
-440.000000,4843.750000,-2.131250
-400.000000,4846.250000,-1.938500
-440.000000,4845.000000,-2.131800
-420.000000,4847.500000,-2.035950
-480.000000,4847.500000,-2.326800
-420.000000,4846.250000,-2.035425
-440.000000,4848.750000,-2.133450
-420.000000,4852.500000,-2.038050
-440.000000,4851.250000,-2.134550
-420.000000,4851.250000,-2.037525
1780.000000,4828.750000,8.595175
2660.000000,4820.000000,12.821200
3700.000000,4815.000000,17.815500
4800.000000,4802.500000,23.052000
5680.000000,4800.000000,27.264000
6500.000000,4792.500000,31.151251
7300.000000,4786.250000,34.939625
8060.000000,4777.500000,38.506649
9000.000000,4772.500000,42.952499
9860.000000,4765.000000,46.982899
10620.000000,4755.000000,50.498100
