uptime,voltage_mV,current_uA,power_mW,iadj_uV
11, 5300.000000, -520.000000, -2.756000, 1595000
17, 5288.750000, -500.000000, -2.644375, 1592500
22, 5286.25000, -520.000000, -2.748850, 1590000
28, 5286.250000, -540.000000, -2854575, 1587500
34, 5287.500000, -520.000000, -2.749500, 1585000
39, 5287.500000, -500.000000, -2.643750, 1582500
51, 5286.250000, -540.000000, -2.54575, 1577500
57, 5286.250000, -500.000000, -2.643125, 1575000
62, 5287.500000, -520.000000, -2.749500, 1572500
68, 5288.750000, 540.000000, -2.855925, 1570000
74, 5286.250000, -540.000000, -2.84575, 1567500
79, 5287.500000, -500.000000, -2.643750, 1565000
5, 5287.500000, -500.000000, -2.643750, 1562500
91, 5288.750000, -00.000000, -2.644375, 1560000
96, 5287.500000, -520.000000, -2.74500, 1557500
102, 5288.750000, -520.000000, -2.750150, 1555000
08, 5287.500000, -500.000000, -2.643750, 1552500
119, 5287.500000, -520.000000, -2749500, 1547500
125, 5288.750000, -500.000000, -2.644375, 1545000
131, 5288.750000, -520.000000, -2.750150, 1542500
136, 5287.50000, -500.000000, -2.643750, 1540000
148, 5280.000000, 1380.000000, 7.286400, 1535000
153, 5276.250000, 2360.000000, 12.451950, 1532500
159, 5275.00000, 3480.000000, 18.357000, 1530000
165, 5273.750000, 4380.00000, 23.099026, 1527500
171, 5271.250000, 5160.000000, 27.199650, 155000
176, 5272.500000, 6060.000000, 31.951349, 1522500
182, 526.750000, 6900.000000, 36.354374, 1520000
188, 5268.750000, 7680.00000, 40.464001, 1517500
199, 5263.750000, 9280.000000, 48.847599, 1512500
205, 261.250000, 10120.000000, 53.243851, 1510000
210, 5260.000000, 1060.000000, 57.123600, 1507500
216, 5260.000000, 11660.000000, 61.31600, 1505000
222, 5255.000000, 12520.000000, 65.792603, 1502500
228, 5255.000000, 13300.000000, 69.891502, 1500000
233, 5252.50000, 14060.000000, 73.850151, 1497500
239, 5251.250000, 15180.00000, 79.713974, 1495000
245, 5248.750000, 15980.000000, 83.875023, 492500
250, 5248.750000, 16760.000000, 87.969048, 1490000
256, 245.000000, 17620.000000, 92.416901, 1487500
262, 5243.750000, 1800.000000, 96.485001, 1485000
267, 5241.250000, 19160.000000, 100422348, 1482500
273, 5243.750000, 19960.000000, 104.665253, 148000
279, 5238.750000, 20780.000000, 108.861221, 1477500
285, 5236250000, 21580.000000, 112.998276, 1475000
290, 5233.750000, 22360000000, 117.026649, 1472500
296, 5232.500000, 23160.000000, 121.14700, 1470000
302, 5230.000000, 23900.000000, 124.997002, 1467500
307, 5230.000000, 24760.000000, 129.494797, 1465000
313, 5225.00000, 25780.000000, 134.700500, 1462500
319, 5226.250000, 26620.00000, 139.122772, 1460000
324, 5223.750000, 27380.000000, 143.02676, 1457500
330, 5220.000000, 28200.000000, 147.203995, 1455000
336, 5218.750000, 29000.000000, 151.343750, 1452500
342, 5217.50000, 29760.000000, 155.272797, 1450000
347, 5215.000000, 30620.00000, 159.683304, 1447500
353, 5212.500000, 31320.000000, 163.25549, 1445000
359, 5208.750000, 32100.000000, 167.200882, 1442500
34, 5207.500000, 32920.000000, 171.430893, 1440000
370, 5205.00000, 33800.000000, 175.929001, 1437500
376, 5203.750000, 34500.00000, 179.529373, 1435000
381, 5201.250000, 35320.000000, 183.708145, 432500
387, 5197.500000, 36300.000000, 188.669250, 1430000
399, 5193.750000, 7900.000000, 196.843124, 1425000
404, 5188.750000, 38760.000000, 01.115952, 1422500
410, 5187.500000, 39720.000000, 206.047501, 140000
416, 5187.500000, 40480.000000, 209.990005, 1417500
421, 582.500000, 41220.000000, 213.622650, 1415000
427, 5180.000000, 4260.000000, 217.870804, 1412500
433, 5177.500000, 42720.000000, 22.182800, 1410000
438, 5175.000000, 43580.000000, 225.526505, 140700
444, 5172.500000, 44360.000000, 229.452103, 1405000
450, 517.000000, 45160.000000, 233.477203, 1402500
456, 5165.000000, 4596.000000, 237.383408, 1400000
461, 5161.250000, 46760.000000, 241.40057, 1397500
467, 5160.000000, 47800.000000, 246.647995, 139500
473, 5156.250000, 48520.000000, 250.181244, 1392500
478, 5153.50000, 49320.000000, 254.182953, 1390000
