current_uA,voltage_mV,power_mW
-500.000000,5277.500000,-2.638750
-500.000000,5280.000000,-2.640000
-500.000000,5278.750000,-2.639375
-480.000000,5276.250000,-2.532600
-440.000000,5278.750000,-2.322650
-480.000000,5278.750000,-2.533800
-500.000000,5277.500000,-2.638750
-520.000000,5277.500000,-2.744300
-520.000000,5281.250000,-2.746250
-500.000000,5277.500000,-2.638750
-540.000000,5278.750000,-2.850525
-520.000000,5278.750000,-2.744950
-500.000000,5278.750000,-2.639375
-500.000000,5276.250000,-2.638125
-540.000000,5277.500000,-2.849850
-480.000000,5276.250000,-2.532600
-520.000000,5277.500000,-2.744300
-440.000000,5277.500000,-2.322100
-500.000000,5277.500000,-2.638750
-520.000000,5276.250000,-2.743650
-500.000000,5276.250000,-2.638125
-520.000000,5275.000000,-2.743000
-520.000000,5276.250000,-2.743650
-520.000000,5275.000000,-2.743000
1920.000000,5272.500000,10.123200
2960.000000,5271.250000,15.602900
3780.000000,5271.250000,19.925325
4960.000000,5272.500000,26.151600
5860.000000,5271.250000,30.889524
6600.000000,5270.000000,34.782001
7500.000000,5268.750000,39.515625
8320.000000,5268.750000,43.835999
9020.000000,5268.750000,47.524124
10020.000000,5268.750000,52.792873
10760.000000,5267.500000,56.678299
11560.000000,5266.250000,60.877850
12420.000000,5266.250000,65.406822
13200.000000,5266.250000,69.514503
13880.000000,5265.000000,73.078201
14820.000000,5263.750000,78.008774
15580.000000,5262.500000,81.989754
16680.000000,5261.250000,87.757652
17460.000000,5261.250000,91.861427
18280.000000,5260.000000,96.152802
19060.000000,5260.000000,100.255600
19860.000000,5261.250000,104.488426
20660.000000,5260.000000,108.671600
21420.000000,5257.500000,112.615646
22200.000000,5257.500000,116.716499
22980.000000,5255.000000,120.759903
23800.000000,5257.500000,125.128502
24520.000000,5256.250000,128.883255
25380.000000,5257.500000,133.435349
26160.000000,5255.000000,137.470795
27280.000000,5255.000000,143.356400
28060.000000,5253.750000,147.420227
28820.000000,5255.000000,151.449097
29660.000000,5251.250000,155.752075
30400.000000,5253.750000,159.714005
31160.000000,5251.250000,163.628952
32020.000000,5251.250000,168.145020
32880.000000,5250.000000,172.619995
33600.000000,5248.750000,176.358002
34360.000000,5247.500000,180.304092
35180.000000,5248.750000,184.651031
35980.000000,5247.500000,188.805054
36720.000000,5247.500000,192.688202
37580.000000,5245.000000,197.107101
38520.000000,5243.750000,201.989243
39420.000000,5243.750000,206.708618
40220.000000,5242.500000,210.853348
40900.000000,5242.500000,214.418243
41800.000000,5242.500000,219.136505
42580.000000,5240.000000,223.119202
43360.000000,5241.250000,227.260605
44120.000000,5240.000000,231.188797
44920.000000,5242.500000,235.493103
45700.000000,5238.750000,239.410873
46420.000000,5238.750000,243.182770
47280.000000,5241.250000,247.806305
48020.000000,5237.500000,251.504745
49100.000000,5236.250000,257.099884
49820.000000,5237.500000,260.932251
50680.000000,5233.750000,265.246460
51460.000000,5236.250000,269.457428
52200.000000,5233.750000,273.201752
52980.000000,5232.500000,277.217865
53820.000000,5231.250000,281.545868
54620.000000,5230.000000,285.662598
55380.000000,5230.000000,289.637390
56160.000000,5228.750000,293.646606
56900.000000,5230.000000,297.587006
57680.000000,5227.500000,301.522186
58460.000000,5228.750000,305.672729
59480.000000,5227.500000,310.931702
60280.000000,5228.750000,315.189056
61080.000000,5226.250000,319.219360
61860.000000,5223.750000,323.141174
62660.000000,5223.750000,327.320160
63420.000000,5223.750000,331.290222
64260.000000,5222.500000,335.597839
65100.000000,5222.500000,339.984741
65860.000000,5221.250000,343.871521
66580.000000,5222.500000,347.714050
67380.000000,5221.250000,351.807831
68220.000000,5220.000000,356.108398
68920.000000,5222.500000,359.934692
69960.000000,5220.000000,365.191193
70780.000000,5216.250000,369.206177
71660.000000,5216.250000,373.796478
72380.000000,5217.500000,377.642639
73200.000000,5215.000000,381.738007
74000.000000,5213.750000,385.817505
74720.000000,5212.500000,389.477997
75460.000000,5211.250000,393.240936
76300.000000,5211.250000,397.618378
77000.000000,5211.250000,401.266235
77920.000000,5210.000000,405.963196
78680.000000,5208.750000,409.824463
79460.000000,5208.750000,413.887268
80200.000000,5208.750000,417.741760
81260.000000,5207.500000,423.161438
81980.000000,5206.250000,426.808380
82820.000000,5206.250000,431.181610
83680.000000,5203.750000,435.449799
84380.000000,5203.750000,439.092438
85180.000000,5202.500000,443.148956
86020.000000,5202.500000,447.519043
86760.000000,5203.750000,451.477356
87560.000000,5203.750000,455.640350
88360.000000,5201.250000,459.582458
89100.000000,5200.000000,463.320007
89900.000000,5197.500000,467.255249
90700.000000,5196.250000,471.299866
91720.000000,5197.500000,476.714691
92480.000000,5195.000000,480.433594
93180.000000,5196.250000,484.186584
94120.000000,5193.750000,488.835754
94860.000000,5193.750000,492.679138
95660.000000,5192.500000,496.714539
96380.000000,5192.500000,500.453156
97280.000000,5191.250000,505.004791
98000.000000,5190.000000,508.619995
98860.000000,5190.000000,513.083374
99560.000000,5187.500000,516.467529
100400.000000,5187.500000,520.825012
101180.000000,5186.250000,524.744751
102180.000000,5187.500000,530.058777
102920.000000,5186.250000,533.768860
103720.000000,5185.000000,537.788208
104580.000000,5183.750000,542.116577
105300.000000,5183.750000,545.848877
106120.000000,5182.500000,549.966919
107020.000000,5182.500000,554.631165
107660.000000,5181.250000,557.813354
108460.000000,5180.000000,561.822815
109220.000000,5177.500000,565.486572
109980.000000,5177.500000,569.421448
110760.000000,5173.750000,573.044556
111520.000000,5173.750000,576.976624
112360.000000,5173.750000,581.322571
113400.000000,5172.500000,586.561523
114220.000000,5172.500000,590.802979
114960.000000,5172.500000,594.630615
115700.000000,5171.250000,598.313599
116460.000000,5171.250000,602.243774
117220.000000,5171.250000,606.173950
118080.000000,5168.750000,610.325989
118820.000000,5167.500000,614.002380
119580.000000,5168.750000,618.079102
120480.000000,5165.000000,622.279175
121220.000000,5166.250000,626.252808
121960.000000,5165.000000,629.923401
122700.000000,5163.750000,633.592102
123800.000000,5162.500000,639.117493
124580.000000,5163.750000,643.299988
125280.000000,5163.750000,646.914612
126160.000000,5161.250000,651.143311
126900.000000,5158.750000,654.645386
127760.000000,5158.750000,659.081909
128520.000000,5158.750000,663.002563
129280.000000,5155.000000,666.438416
130100.000000,5153.750000,670.502869
130900.000000,5152.500000,674.462280
131580.000000,5153.750000,678.130432
132400.000000,5150.000000,681.859985
133220.000000,5150.000000,686.083008
134300.000000,5148.750000,691.477112
134980.000000,5147.500000,694.809570
135780.000000,5147.500000,698.927551
136620.000000,5146.250000,703.080688
137380.000000,5146.250000,706.991821
138180.000000,5143.750000,710.763367
138960.000000,5143.750000,714.775513
139720.000000,5143.750000,718.684753
140500.000000,5141.250000,722.345642
141320.000000,5141.250000,726.561462
142080.000000,5142.500000,730.646423
142900.000000,5138.750000,734.327393
143620.000000,5137.500000,737.847778
144480.000000,5137.500000,742.265991
145500.000000,5137.500000,747.506226
146200.000000,5135.000000,750.737000
147060.000000,5133.750000,754.969299
147800.000000,5131.250000,758.398743
148520.000000,5131.250000,762.093262
149360.000000,5127.500000,765.843384
150180.000000,5127.500000,770.047974
151000.000000,5126.250000,774.063721
151780.000000,5123.750000,777.682800
152580.000000,5123.750000,781.781799
153300.000000,5122.500000,785.279236
154060.000000,5122.500000,789.172363
154820.000000,5118.750000,792.484863
155880.000000,5120.000000,798.105591
156680.000000,5118.750000,802.005737
157420.000000,5116.250000,805.400085
158200.000000,5116.250000,809.390747
158980.000000,5116.250000,813.381409
159800.000000,5115.000000,817.377014
160660.000000,5115.000000,821.775879
161500.000000,5112.500000,825.668762
162260.000000,5113.750000,829.757080
162920.000000,5111.250000,832.724854
163760.000000,5108.750000,836.608887
164520.000000,5110.000000,840.697205
165320.000000,5107.500000,844.371887
166360.000000,5103.750000,849.059875
167180.000000,5103.750000,853.244934
167960.000000,5100.000000,856.596008
168700.000000,5100.000000,860.369995
169500.000000,5097.500000,864.026245
170320.000000,5097.500000,868.206177
171080.000000,5095.000000,871.652588
171800.000000,5093.750000,875.106262
172600.000000,5093.750000,879.181274
173460.000000,5090.000000,882.911377
174200.000000,5090.000000,886.677979
174980.000000,5090.000000,890.648193
175780.000000,5088.750000,894.500488
176500.000000,5086.250000,897.723145
177620.000000,5085.000000,903.197693
178360.000000,5083.750000,906.737671
179120.000000,5085.000000,910.825195
179920.000000,5083.750000,914.668274
180680.000000,5081.250000,918.080261
181500.000000,5080.000000,922.020020
182260.000000,5080.000000,925.880798
183060.000000,5078.750000,929.716003
183800.000000,5077.500000,933.244507
184620.000000,5073.750000,936.715698
185420.000000,5073.750000,940.774719
186100.000000,5068.750000,943.294373
186860.000000,5067.500000,946.913025
188000.000000,5067.500000,952.690002
188780.000000,5065.000000,956.170715
189560.000000,5062.500000,959.647522
190300.000000,5058.750000,962.680115
191120.000000,5060.000000,967.067200
191920.000000,5058.750000,970.875305
192660.000000,5057.500000,974.377930
193460.000000,5053.750000,977.698486
194280.000000,5052.500000,981.599670
195100.000000,5053.750000,985.986633
195820.000000,5050.000000,988.890991
196600.000000,5050.000000,992.830017
197320.000000,5047.500000,995.972717
198400.000000,5048.750000,1001.671997
199220.000000,5046.250000,1005.313904
200000.000000,5045.000000,1009.000000
200720.000000,5043.750000,1012.381470
201520.000000,5043.750000,1016.416504
202360.000000,5042.500000,1020.400330
203160.000000,5038.750000,1023.672424
203900.000000,5036.250000,1026.891357
204720.000000,5032.500000,1030.253418
205460.000000,5030.000000,1033.463745
206300.000000,5028.750000,1037.431152
207060.000000,5023.750000,1040.217651
207780.000000,5023.750000,1043.834717
208560.000000,5021.250000,1047.231934
209600.000000,5018.750000,1051.930054
210320.000000,5016.250000,1055.017700
211160.000000,5015.000000,1058.967407
211920.000000,5015.000000,1062.778809
212720.000000,5011.250000,1065.993042
213600.000000,5011.250000,1070.402954
214280.000000,5008.750000,1073.274902
