uptime,voltage_mV,current_uA,power_mW,iadj_uV
250, 5258.750000, 1780.000000, 88.241821, 1490000
256, 5256.250000, 17560.000000, 92.299751, 1487500
262, 5255.000000, 18460.000000, 97.007301, 1485000
267, 5253.750000, 19200.000000, 100.872002, 148500
273, 5251.50000, 20020.000000, 105.130028, 1480000
279, 5250.000000, 20780.00000, 109.095001, 1477500
285, 5247.500000, 21560.000000, 113.13101, 1475000
290, 5246.250000, 22380.000000, 117.411072, 1472500
2, 296, 5245.000000, 23100.000000, 121
302, 5243.750000, 23880.000000, 125.220749, 1467500
307, 5242.500000, 24720.00000, 129.594604, 1465000
313, 5238.750000, 25820.000000, 135.264526, 1462500
319, 5237.500000, 26560.000000, 139.108002, 1460000
24, 5233.750000, 27360.000000, 143.195404, 1457500
330, 5232.50000, 28160.000000, 147.347198, 1455000
336, 5231.250000, 28980.00000, 151.601624, 1452500
342, 5227.500000, 29780.000000, 155.674957, 1450000
347, 5226.250000, 30560.000000, 159.714203, 1447500
35, 5226.250000, 31360.000000, 163.895203, 1445000
370, 5218.750000, 33780.000000, 176.289368, 1437500
376, 5217.500000, 34560.000000, 180.316803, 1435000
381, 215.000000, 35280.000000, 183.985199, 1432500
387, 5210.000000, 3360.000000, 189.435593, 1430000
393, 5208.750000, 37080.000000, 193.140457, 1427500
399, 5206.250000, 37960.000000, 197.629257, 1425000
404, 5202.500000, 39000.000000, 202.897507, 1422500
410, 520.000000, 39700.000000, 206.440002, 1420000
416, 5198.750000, 4050.000000, 210.549377, 1417500
421, 5195.000000, 41260.000000, 214.345703, 1415000
427, 5195.000000, 42120.000000, 218.813400, 1412500
433, 5190.000000, 42880.000000, 222.547195, 1410000
438, 5188750000, 43680.000000, 226.644608, 1407500
444, 5187.500000, 44420000000, 230.428757, 1405000
450, 5183.750000, 45200.000000, 234.35496, 1402500
456, 5181.250000, 45960.000000, 238.130249, 1400000
461, 5178.750000, 46820.000000, 242.469070, 1397500
467, 5173.70000, 47780.000000, 247.201782, 1395000
473, 5172.500000, 48580.00000, 251.280045, 1392500
478, 5168.750000, 49360.000000, 255.129501, 1390000
484, 5163.750000, 50120.000000, 258.807159, 1387500
490, 5163.750000, 50920.000000, 262.938141, 138500
