current_uA,voltage_mV,power_mW
-520.000000,5035.000000,-2.618200
-520.000000,5032.500000,-2.616900
-540.000000,5030.000000,-2.716200
-500.000000,5032.500000,-2.516250
-540.000000,5028.750000,-2.715525
-520.000000,5030.000000,-2.615600
-500.000000,5028.750000,-2.514375
-540.000000,5027.500000,-2.714850
-540.000000,5027.500000,-2.714850
-520.000000,5027.500000,-2.614300
-540.000000,5027.500000,-2.714850
-540.000000,5027.500000,-2.714850
-540.000000,5025.000000,-2.713500
-520.000000,5025.000000,-2.613000
-540.000000,5027.500000,-2.714850
-580.000000,5028.750000,-2.916675
-480.000000,5025.000000,-2.412000
-540.000000,5025.000000,-2.713500
-540.000000,5018.750000,-2.710125
-520.000000,5016.250000,-2.608450
-520.000000,5013.750000,-2.607150
-540.000000,5015.000000,-2.708100
-480.000000,5015.000000,-2.407200
-500.000000,5013.750000,-2.506875
1860.000000,5001.250000,9.302325
2800.000000,4998.750000,13.996500
3780.000000,4996.250000,18.885824
4820.000000,4993.750000,24.069876
5760.000000,4990.000000,28.742399
6600.000000,4986.250000,32.909248
7360.000000,4985.000000,36.689602
8200.000000,4982.500000,40.856499
9000.000000,4980.000000,44.820000
9860.000000,4976.250000,49.065826
10680.000000,4973.750000,53.119652
11480.000000,4972.500000,57.084301
12260.000000,4970.000000,60.932201
13080.000000,4967.500000,64.974899
13920.000000,4966.250000,69.130203
14700.000000,4962.500000,72.948753
15520.000000,4962.500000,77.017998
16520.000000,4956.250000,81.877251
17400.000000,4948.750000,86.108253
18200.000000,4943.750000,89.976250
18920.000000,4940.000000,93.464798
19720.000000,4935.000000,97.318199
20620.000000,4931.250000,101.682373
21320.000000,4923.750000,104.974350
22160.000000,4922.500000,109.082603
22920.000000,4916.250000,112.680450
23760.000000,4912.500000,116.721001
24560.000000,4908.750000,120.558899
25420.000000,4906.250000,124.716873
26200.000000,4901.250000,128.412750
27260.000000,4897.500000,133.505844
27980.000000,4891.250000,136.857178
28820.000000,4887.500000,140.857758
29620.000000,4885.000000,144.693695
30380.000000,4877.500000,148.178452
31200.000000,4876.250000,152.139008
