uptime,voltage_mV,current_uA,power_mW,iadj_uV
5, 5087.50000, -600.000000, -3.052500, 1597500
11, 5142.500000, -620.000000, 3.188350, 1595000
17, 5151.250000, -540.000000, -2.781675, 1592500
22, 5180.000000, -540.000000, -2.797200, 1590000
28, 5212.50000, -580.000000, -3.023250, 1587500
39, 5266.250000, -580.000000, -3.054425, 1582500
45, 5287.500000, -540.000000, -2.855250, 1580000
51, 5308.75000, -500.000000, -2.654375, 1577500
57, 5322.500000, -500.000000, -2661250, 1575000
62, 5337.500000, -520.000000, -2.775500, 1572500
68, 5351.250000, -520.000000, -2.782650, 1570000
79, 5375.000000, -520.000000, -2.95000, 1565000
85, 5382.500000, -580.000000, -3.121850, 1562500
91, 5391.250000, -540.000000, -2.911275, 1560000
96, 5396.250000, -520.000000, -2.806050, 1557500
102, 5406.250000, -520.000000, -2.11250, 1555000
108, 5411.250000, -540.000000, -2.922075, 1552500
114, 5416.250000, -520.000000, -2.816450, 1550000
119, 5421.250000, -540.000000, -2.927475, 1547500
125, 5425.000000, -540.000000, -2.929500, 1545000
131, 5432.500000, -520.000000, -2.824900, 154250
136, 5435.00000, -520.000000, -2.826200, 1540000
142, 5435.000000, -500.00000, -2.717500, 1537500
148, 5438.750000, -220.000000, -1.196525, 153000
153, 5441.250000, 2120.000000, 11.535450, 1532500
159, 5438750000, 3320.000000, 18.056650, 1530000
165, 5442.500000, 4100.00000, 22.314251, 1527500
171, 5442.500000, 4980.000000, 27.103649, 525000
176, 5443.750000, 5820.000000, 31.682625, 1522500
182, 543.750000, 6580.000000, 35.819874, 1520000
188, 5446.250000, 7480000000, 40.737949, 1517500
193, 5446.250000, 8280.000000, 45.09492, 1515000
199, 5446.250000, 9060.000000, 49.343025, 1512500
205, 5446.250000, 9880.000000, 53.808949, 1510000
210, 5447.500000, 10700.000000, 58.288250, 1507500
216, 5447.500000, 11520.000000, 62755199, 1505000
2, 222, 5447.500000, 12320.000000, 67
228, 5447.50000, 13100.000000, 71.362251, 1500000
233, 5450.000000, 13860.000000, 75.537003, 1497500
239, 5447.500000, 14980.000000, 81.603554, 195000
245, 5447.500000, 15760.000000, 85.852600, 1492500
250, 546.250000, 16560.000000, 90.189903, 1490000
256, 5447.500000, 1730.000000, 94.677551, 1487500
262, 5447.500000, 18260.000000, 99.41352, 1485000
267, 5445.000000, 18980.000000, 103.346100, 1482500
273, 5445.000000, 19780.000000, 107.702103, 1480000
279, 5446.20000, 20580.000000, 112.083824, 1477500
285, 5446.250000, 21320.00000, 116.114052, 1475000
290, 5446.250000, 22120.000000, 120.47146, 1472500
296, 5445.000000, 22920.000000, 124.799400, 1470000
302, 5445.000000, 23760.000000, 129.373199, 1467500
307, 5445.00000, 24520.000000, 133.511398, 1465000
313, 5442.500000, 25580.00000, 139.219147, 1462500
319, 5442.500000, 26380.000000, 143.57315, 1460000
324, 5442.500000, 27220.000000, 148.144852, 1457500
30, 5443.750000, 28020.000000, 152.533875, 1455000
336, 5441.25000, 28760.000000, 156.490356, 1452500
342, 5440.000000, 29600.00000, 161.024002, 1450000
347, 5441.250000, 30360.000000, 165.196350, 447500
353, 5438.750000, 31120.000000, 169.253906, 1445000
359, 5438.750000, 32060.000000, 174.366318, 1442500
364, 5437.500000, 2720.000000, 177.914993, 1440000
370, 5437.500000, 33560.000000, 82.482498, 1437500
376, 5437.500000, 34420.000000, 187.158752, 145000
381, 5436.250000, 35220.000000, 191.464722, 1432500
387, 5436.250000, 36260.000000, 197.118423, 1430000
393, 5435.000000, 37020.000000, 201.203705, 1427500
399, 5435.000000, 37880.000000, 20.877808, 1425000
404, 5432.500000, 38580.000000, 209.585846, 142200
410, 5435.00000, 39380.000000, 214.030304, 1420000
416, 5433.750000, 40200.000000, 218.436752, 1417500
421, 5432.500000, 41020.000000, 222.84156, 1415000
427, 5431.250000, 41760.000000, 226.809006, 1412500
433, 5431.250000, 42480.000000, 230.719498, 1410000
438, 5431.25000, 43300.000000, 235.173126, 1407500
444, 5430.000000, 44060.00000, 239.245804, 1405000
450, 5430.000000, 44780.000000, 243.15539, 1402500
456, 5430.000000, 45680.000000, 248.042404, 1400000
41, 5428.750000, 46480.000000, 252.328293, 1397500
467, 5427.50000, 47500.000000, 257.806244, 1395000
473, 5427.500000, 48280.00000, 262.039703, 1392500
478, 5426.250000, 49020.000000, 265.994781, 390000
484, 546.250000, 49780.000000, 270.118713, 1387500
490, 5426.250000, 50600.000000, 274.568237, 1385000
495, 5425.000000, 51380.000000, 278.736511, 1382500
501, 5422.500000, 52120.000000, 82.620697, 1380000
507, 5422.500000, 52920.000000, 286.958710, 137500
513, 5421250000, 53620.000000, 290.687439, 1375000
518, 5420.000000, 54380000000, 294.739594, 1372500
524, 5422.500000, 55220.000000, 299.430450, 1370000
530, 5420.000000, 56020.000000, 303.628387, 1367500
535, 5420.000000, 56820.000000, 307.964386, 1365000
541, 5418.70000, 57780.000000, 313.095367, 1362500
547, 5418.750000, 58580.00000, 317.430389, 1360000
552, 5417.500000, 59360.000000, 321.58294, 1357500
558, 5416.250000, 60100.000000, 325.516632, 1355000
564, 5417.500000, 60880.000000, 329.817413, 1352500
570, 5416.25000, 61560.000000, 333.424347, 1350000
575, 5415.000000, 62460.00000, 338.220886, 1347500
581, 5413.750000, 63200.000000, 342.14898, 1345000
587, 5413.750000, 63880.000000, 345.830353, 1342500
52, 5415.000000, 64660.000000, 350.133911, 1340000
598, 5412.50000, 65520.000000, 354.627014, 1337500
604, 5411.250000, 66220.00000, 358.332977, 1335000
609, 5411.250000, 66960.000000, 362.337311, 332500
615, 5412.500000, 67920.000000, 367.617004, 1330000
621, 5408.750000, 68700.000000, 371.581116, 1327500
627, 5411.250000, 69500.000000, 376.081879, 1325000
632, 5408.750000, 70260.000000, 380.018768, 1322500
638, 5408.750000, 70960.000000, 383.804901, 130000
644, 5408750000, 71760.000000, 388.131897, 1317500
649, 5406.250000, 72520000000, 392.061249, 1315000
655, 5406.250000, 73260.000000, 396.061890, 1312500
661, 5405.000000, 74000.000000, 399.970001, 1310000
666, 5403.750000, 74720.000000, 403.768188, 1307500
672, 5405.00000, 75580.000000, 408.509888, 1305000
678, 5403.750000, 76280.00000, 412.198059, 1302500
684, 5402.500000, 77000.000000, 415.99293, 1300000
689, 5402.500000, 77760.000000, 420.098389, 1297500
695, 5403.750000, 78780.000000, 425.707428, 1295000
701, 5401.25000, 80480.000000, 434.692596, 1292500
706, 5398.750000, 81200.00000, 438.378510, 1290000
712, 5400.000000, 82080.000000, 443.23199, 1287500
718, 5397.500000, 82820.000000, 447.020935, 1285000
73, 5396.250000, 83620.000000, 451.234436, 1282500
729, 5398.75000, 84400.000000, 455.654510, 1280000
735, 5397.500000, 85200.00000, 459.867004, 1277500
741, 5397.500000, 86000.000000, 464.184998, 275000
746, 5396.250000, 86780.000000, 468.286560, 1272500
758, 5395.000000, 8300.000000, 476.378510, 1267500
763, 5393.750000, 89100.000000, 80.583130, 1265000
769, 5393.750000, 90120.000000, 486.084747, 122500
775, 5390.000000, 90980.000000, 490.382202, 1260000
780, 5391.250000, 91720.000000, 494.485443, 1257500
786, 5388.750000, 9200.000000, 498.459381, 1255000
792, 5390.000000, 93280.000000, 50.779205, 1252500
798, 5388.750000, 94060.000000, 506.865814, 125000
803, 5387.50000, 94820.000000, 510.842743, 1247500
809, 5387.500000, 95680.00000, 515.476013, 1245000
815, 5386.250000, 96420.000000, 519.34224, 1242500
820, 5387.500000, 97280.000000, 524.096008, 1240000
826, 5387.500000, 98000.000000, 527.974976, 1237500
832, 5385.00000, 98700.000000, 531.499512, 1235000
