current_uA,voltage_mV,power_mW
-480.000000,5228.750000,-2.509800
-500.000000,5228.750000,-2.614375
-520.000000,5231.250000,-2.720250
-520.000000,5230.000000,-2.719600
-440.000000,5231.250000,-2.301750
-480.000000,5230.000000,-2.510400
-520.000000,5228.750000,-2.718950
-480.000000,5230.000000,-2.510400
-500.000000,5227.500000,-2.613750
-480.000000,5231.250000,-2.511000
-500.000000,5228.750000,-2.614375
-440.000000,5230.000000,-2.301200
-480.000000,5230.000000,-2.510400
-500.000000,5231.250000,-2.615625
-520.000000,5231.250000,-2.720250
-500.000000,5231.250000,-2.615625
-500.000000,5230.000000,-2.615000
-500.000000,5230.000000,-2.615000
-520.000000,5231.250000,-2.720250
-480.000000,5230.000000,-2.510400
-440.000000,5228.750000,-2.300650
-440.000000,5228.750000,-2.300650
-480.000000,5228.750000,-2.509800
-480.000000,5228.750000,-2.509800
1720.000000,5225.000000,8.987000
2760.000000,5226.250000,14.424450
3560.000000,5223.750000,18.596550
4660.000000,5223.750000,24.342674
5560.000000,5223.750000,29.044050
6480.000000,5222.500000,33.841801
7160.000000,5221.250000,37.384151
8060.000000,5218.750000,42.063126
8880.000000,5218.750000,46.342499
9720.000000,5218.750000,50.726250
10480.000000,5218.750000,54.692501
11360.000000,5216.250000,59.256599
12100.000000,5217.500000,63.131748
12820.000000,5216.250000,66.872322
13720.000000,5216.250000,71.566948
14480.000000,5215.000000,75.513199
15220.000000,5213.750000,79.353271
16380.000000,5215.000000,85.421700
17160.000000,5212.500000,89.446503
18000.000000,5210.000000,93.779999
18760.000000,5213.750000,97.809952
19560.000000,5210.000000,101.907600
20320.000000,5210.000000,105.867203
21180.000000,5208.750000,110.321327
21860.000000,5207.500000,113.835953
22700.000000,5208.750000,118.238625
23480.000000,5207.500000,122.272102
24320.000000,5203.750000,126.555199
25120.000000,5205.000000,130.749603
25880.000000,5205.000000,134.705399
26960.000000,5203.750000,140.293106
27720.000000,5203.750000,144.247955
28500.000000,5201.250000,148.235626
29400.000000,5201.250000,152.916748
30180.000000,5198.750000,156.898270
30980.000000,5201.250000,161.134720
31700.000000,5198.750000,164.800369
32520.000000,5197.500000,169.022705
33320.000000,5198.750000,173.222351
34100.000000,5197.500000,177.234756
34820.000000,5197.500000,180.976944
35720.000000,5195.000000,185.565399
36420.000000,5195.000000,189.201904
37500.000000,5192.500000,194.718750
38360.000000,5193.750000,199.232254
39100.000000,5192.500000,203.026749
40000.000000,5192.500000,207.699997
40720.000000,5192.500000,211.438599
41380.000000,5190.000000,214.762207
42280.000000,5186.250000,219.274643
43080.000000,5188.750000,223.531357
43800.000000,5190.000000,227.322006
44620.000000,5188.750000,231.522018
45320.000000,5186.250000,235.040848
46200.000000,5185.000000,239.546997
46980.000000,5186.250000,243.650024
47760.000000,5185.000000,247.635605
48720.000000,5183.750000,252.552307
49580.000000,5183.750000,257.010315
50320.000000,5182.500000,260.783386
51200.000000,5180.000000,265.216003
51980.000000,5180.000000,269.256409
52780.000000,5177.500000,273.268463
53520.000000,5180.000000,277.233612
54200.000000,5178.750000,280.688263
55080.000000,5176.250000,285.107849
55800.000000,5173.750000,288.695251
56620.000000,5175.000000,293.008514
57320.000000,5175.000000,296.631012
58220.000000,5173.750000,301.215729
59080.000000,5173.750000,305.665161
59980.000000,5172.500000,310.246552
60760.000000,5171.250000,314.205139
61560.000000,5171.250000,318.342163
62400.000000,5170.000000,322.608002
63100.000000,5171.250000,326.305878
63800.000000,5168.750000,329.766235
64760.000000,5168.750000,334.728241
65480.000000,5166.250000,338.286041
66360.000000,5166.250000,342.832336
67120.000000,5165.000000,346.674805
67960.000000,5165.000000,351.013397
68600.000000,5163.750000,354.233246
69660.000000,5162.500000,359.619751
70480.000000,5163.750000,363.941101
71280.000000,5160.000000,367.804810
72060.000000,5161.250000,371.919678
72860.000000,5156.250000,375.684387
73580.000000,5158.750000,379.580811
74360.000000,5155.000000,383.325806
75260.000000,5155.000000,387.965302
76000.000000,5153.750000,391.684998
76680.000000,5153.750000,395.189545
77560.000000,5153.750000,399.724854
78360.000000,5152.500000,403.749908
79180.000000,5152.500000,407.974945
79900.000000,5150.000000,411.484985
80960.000000,5146.250000,416.640411
81680.000000,5148.750000,420.549896
82520.000000,5148.750000,424.874847
83300.000000,5147.500000,428.786743
84160.000000,5146.250000,433.108398
84800.000000,5145.000000,436.295990
85660.000000,5143.750000,440.613617
86460.000000,5143.750000,444.728638
87260.000000,5142.500000,448.734558
88080.000000,5141.250000,452.841309
88800.000000,5140.000000,456.432007
89580.000000,5141.250000,460.553162
