current_uA,voltage_mV,power_mW
-440.000000,4812.500000,-2.117500
-500.000000,4812.500000,-2.406250
-440.000000,4813.750000,-2.118050
-420.000000,4815.000000,-2.022300
-420.000000,4815.000000,-2.022300
-400.000000,4817.500000,-1.927000
-420.000000,4818.750000,-2.023875
-480.000000,4818.750000,-2.313000
-420.000000,4820.000000,-2.024400
-420.000000,4821.250000,-2.024925
-500.000000,4820.000000,-2.410000
-440.000000,4820.000000,-2.120800
-480.000000,4821.250000,-2.314200
-480.000000,4822.500000,-2.314800
-480.000000,4820.000000,-2.313600
-480.000000,4823.750000,-2.315400
-440.000000,4822.500000,-2.121900
-440.000000,4822.500000,-2.121900
-420.000000,4822.500000,-2.025450
-440.000000,4828.750000,-2.124650
-440.000000,4830.000000,-2.125200
-420.000000,4832.500000,-2.029650
-440.000000,4835.000000,-2.127400
-420.000000,4835.000000,-2.030700
1880.000000,4808.750000,9.040450
2800.000000,4803.750000,13.450500
3680.000000,4797.500000,17.654800
4860.000000,4790.000000,23.279400
5680.000000,4787.500000,27.193001
6560.000000,4780.000000,31.356800
7320.000000,4776.250000,34.962151
8200.000000,4766.250000,39.083248
9020.000000,4760.000000,42.935200
9860.000000,4755.000000,46.884300
10660.000000,4746.250000,50.595024
11400.000000,4738.750000,54.021751
12280.000000,4730.000000,58.084400
13020.000000,4725.000000,61.519501
13880.000000,4716.250000,65.461548
