uptime,voltage_mV,current_uA,power_mW,iadj_uV
5, 5431.250000, -580.000000, -3.150125, 1597500
11, 5430.000000, -580.000000, -3149400, 1595000
17, 5423.750000, -600.000000, -3.254250, 1592500
22, 5423.750000, -620.000000, -3.362725, 1590000
28, 5425.000000, -580.000000, -3.146500, 1587500
34, 5423.750000, -600.000000, -3.54250, 1585000
39, 5422.500000, -540.000000, -2.928150, 1582500
45, 5422.500000, 580.000000, -3.145050, 1580000
51, 5423.750000, -520.000000, -2.820350, 1577500
57, 5423.750000, -520.000000, -2.820350, 1575000
2, 5425.000000, -580.000000, -3.146500, 1572500
68, 5423.750000, -20.000000, -2.820350, 1570000
74, 5425.000000, -600.000000, -3.255000, 1567500
79, 5423.750000, -500.000000, -2.711875, 1565000
8, 5422.500000, -540.000000, -2.928150, 1562500
91, 5423.750000, -500.000000, -2.711875, 1560000
96, 5423.750000, -540.000000, -2.928825, 1557500
102, 5425.000000, -520.000000, -2.82000, 1555000
18, 5422.500000, -580.000000, -3.145050, 1552500
114, 5425.000000, -520.000000, -2.821000, 1550000
119, 5422.500000, -520.000000, -2.819700, 1547500
125, 5423.750000, -540.000000, -2928825, 1545000
2, 131, 5422.500000, -540.000000, -2
136, 5422.500000, -540.000000, -2.928150, 1540000
142, 5422.500000, -500.000000, -2.711250, 1537500
148, 5421.250000, 1520.000000, 8.240300, 1535000
153, 5417.500000, 2380.000000, 12.893650, 153250
159, 5417.50000, 3560.000000, 19.286301, 1530000
165, 5416.250000, 4420.000000, 23.939825, 1527500
171, 5413.750000, 5260.000000, 28.476324, 1525000
176, 5416.250000, 6060.000000, 32.822475, 152500
182, 5413750000, 6920.000000, 37.463150, 1520000
188, 5413.750000, 7700.000000, 41.685875, 1517500
193, 5412.500000, 8500.000000, 46.006248, 1515000
205, 511.250000, 10180.000000, 55.086525, 1510000
210, 5413.750000, 1090.000000, 59.118149, 1507500
216, 5408.750000, 11700.000000, 63.282375, 1505000
222, 5410.000000, 12500.000000, 67625000, 1502500
2, 228, 5410.000000, 13320.000000, 72
233, 5407.50000, 14180.000000, 76.678352, 1497500
239, 5406.250000, 15280.000000, 82.607498, 1495000
