uptime,voltage_mV,current_uA,power_mW,iadj_uV
1818, 5312.500000, 23750.000000, 1261.718750, 802500
1824, 5315.000000, 238260.000000, 166.351929, 800000
1829, 5311.250000, 239120.000000, 1270.026123, 797500
1835, 5310.000000, 240160.000000, 1275.249634, 795000
181, 5311.250000, 240960.000000, 1279.798828, 792500
1846, 5307.50000, 241680.000000, 1282.716553, 790000
1852, 5308.750000, 242480.000000, 1287.265747, 787500
1858, 5307.500000, 243280.000000, 1291.208618, 785000
1864, 5308.750000, 243980.000000, 1295.228882, 782500
1869, 5306.250000, 244820.000000, 1299.076172, 780000
1875, 306.250000, 245600.000000, 1303.214966, 777500
1886, 5303.750000, 247160.00000, 1310.874878, 772500
1892, 5303.750000, 247980.000000, 1315.22877, 770000
1898, 5301.250000, 248700.000000, 1318.420898, 767500
1903, 5301.250000, 249480.000000, 1322.555908, 765000
1909, 529.750000, 250520.000000, 1327.442871, 762500
1915, 5300.000000, 25360.000000, 1332.208008, 760000
1926, 5298.750000, 252860.000000, 1339.841919, 755000
1932, 5298.750000, 253680.000000, 1344.186890, 752500
938, 5297.500000, 254420.000000, 1347.789917, 750000
1943, 5295.00000, 255260.000000, 1351.601685, 747500
1949, 5293.750000, 25600.000000, 1355.199951, 745000
1955, 5293.750000, 256760.000000, 139.223267, 742500
1960, 5292.500000, 257600.000000, 1363.348022, 70000
1966, 5293.750000, 258360.000000, 1367.693237, 737500
197, 5290.000000, 259100.000000, 1370.639038, 735000
1978, 5291.25000, 259880.000000, 1375.090088, 732500
1983, 5291.250000, 260860.00000, 1380.275513, 730000
1989, 5291.250000, 261680.000000, 1384.14258, 727500
1995, 5287.500000, 262520.000000, 1388.074463, 72500
2000, 5287.500000, 263280.000000, 1392.093018, 722500
2006, 5285.000000, 264000.000000, 395.239990, 720000
2017, 5285.000000, 265580.000000, 1403.590332, 715000
223, 5281.250000, 266320.000000, 1406.502441, 712500
2029, 5281.25000, 267100.000000, 1410.621826, 710000
2035, 5280.000000, 267900000000, 1414.511963, 707500
2040, 5280.000000, 268700.000000, 141.735962, 705000
2046, 5281.250000, 269500.000000, 1423.296875, 70500
2052, 5280.000000, 270200.000000, 1426.656006, 700000
2057, 5277.500000, 271060.000000, 1430.519165, 697500
2063, 5276.25000, 272080.000000, 1435.562134, 695000
2069, 5276.250000, 272780.00000, 1439.255493, 692500
2074, 5273.750000, 273580.000000, 1442.72480, 690000
280, 5273.750000, 274400.000000, 1447.116943, 68750
2086, 5272.500000, 275160.000000, 1450.781128, 685000
2092, 5272.500000, 275960.000000, 1454.999146, 682500
2097, 5272.500000, 276720.000000, 1459.006226, 680000
2103, 5271.250000, 277480.00000, 1462.666504, 677500
2109, 5271.250000, 278300.000000, 1466.98882, 675000
2114, 5268.750000, 279060.000000, 1470.297363, 672500
2120, 5266.250000, 279820.000000, 1473.602051, 670000
