current voltage power
80 5517 0
1020 5513 5
3560 5511 19
5800 5508 32
8280 5505 45
10760 5503 59
12960 5501 71
15480 5501 85
17660 5497 97
20100 5497 110
22600 5495 124
24800 5492 136
27260 5491 149
29460 5488 161
31960 5487 175
34380 5485 188
36600 5483 200
39080 5481 214
41260 5481 226
43720 5478 239
46220 5477 253
48420 5476 265
50860 5473 278
53020 5471 290
55660 5470 304
57980 5466 317
60120 5466 328
62620 5467 342
64800 5463 354
67280 5462 367
69720 5460 381
71920 5457 392
74380 5455 406
76580 5455 418
79020 5452 431
81460 5447 443
83660 5445 455
85920 5448 468
88100 5448 480
90560 5445 493
93060 5443 506
95220 5441 518
97660 5441 531
99880 5437 543
102300 5430 555
104780 5437 569
106960 5435 581
109460 5433 594
111660 5428 606
114060 5428 619
116520 5426 632
118720 5422 644
121180 5422 657
123320 5421 668
125820 5416 681
128260 5416 694
130460 5416 706
132900 5416 720
135100 5407 730
137560 5407 744
140060 5402 756
142220 5406 768
144660 5405 782
146860 5403 793
149300 5400 806
151780 5398 819
153960 5393 830
156280 5393 843
158480 5391 854
160920 5390 867
163380 5388 880
165560 5388 892
168000 5386 905
170200 5383 916
172700 5382 929
175120 5380 942
177320 5380 954
179760 5376 966
182220 5375 979
184380 5372 990
186860 5372 1004
189060 5368 1015
191500 5367 1028
193960 5366 1040
196120 5363 1052
198600 5361 1065
200780 5360 1076
203260 5356 1088
205680 5353 1101
207880 5353 1113
210320 5353 1126
212480 5351 1137
214960 5347 1149
217460 5345 1162
219620 5343 1174
222060 5341 1186
224260 5340 1197
226480 5340 1209
228960 5337 1222
231100 5333 1232
233600 5331 1245
235800 5330 1257
238180 5328 1269
240660 5327 1282
242860 5325 1293
245280 5323 1305
247460 5321 1316
249960 5318 1329
252360 5315 1341
254560 5313 1352
257020 5312 1365
259220 5311 1377
261660 5307 1389
264160 5306 1401
266300 5305 1412
268720 5302 1425
270900 5300 1435
273360 5297 1448
275800 5295 1460
278020 5293 1472
280500 5290 1484
282620 5288 1494
285060 5286 1507
287520 5283 1519
289700 5282 1530
292160 5280 1543
294360 5276 1553
296760 5275 1565
299160 5272 1577
301380 5271 1588
303780 5268 1600
305920 5265 1611
308400 5265 1623
310880 5262 1636
313080 5260 1646
315480 5255 1658
317660 5253 1668
320120 5251 1681
322600 5250 1694
324760 5248 1704
327220 5243 1716
329460 5242 1727
331820 5240 1739
334280 5236 1750
336460 5236 1761
338900 5231 1773
341080 5230 1783
343520 5226 1795
345960 5225 1807
348100 5218 1816
350580 5222 1831
352720 5213 1839
355180 5215 1852
357660 5208 1863
359860 5207 1874
362260 5203 1885
364300 5202 1895
366720 5198 1906
369120 5196 1918
371300 5195 1928
373780 5191 1940
376180 5187 1951
378320 5182 1961
380820 5188 1976
383000 5180 1984
385420 5172 1993
387880 5172 2006
390080 5170 2017
392480 5166 2027
394680 5163 2038
397100 5158 2048
399560 5155 2059
401700 5155 2071
404160 5150 2081
406360 5145 2090
408700 5143 2102
411180 5141 2114
413360 5136 2123
415800 5133 2135
417980 5131 2145
420480 5127 2156
422860 5122 2166
425060 5120 2176
427480 5116 2187
429600 5111 2196
432080 5107 2207
434380 5103 2217
436520 5100 2226
438920 5096 2237
441100 5093 2247
443560 5086 2256
445980 5083 2267
448160 5078 2276
450660 5072 2286
452800 5068 2295
455180 5063 2305
457620 5060 2315
459800 5055 2324
462220 5050 2334
464400 5045 2343
466880 5040 2353
469280 5035 2363
471420 5028 2371
473860 5022 2380
476060 5017 2388
478400 5010 2397
479200 5008 2400
479600 5006 2401
480020 5003 2402
480360 5001 2402
480760 5001 2404
481120 5002 2407
481460 5002 2408
481820 5001 2409
482120 4998 2410
482420 4996 2410
482520 4996 2411
482520 4996 2411
482500 4997 2411
482500 4996 2411
482560 4996 2411
482520 4996 2410
482500 4996 2410
482500 4991 2408
482500 4996 2411
482500 4995 2410
482500 4995 2410
482500 4993 2409
482500 4993 2409
482500 4993 2409
482480 4992 2409
482500 4992 2409
482500 4993 2409
