current voltage power
60 5516 0
1080 5511 6
3600 5510 19
5800 5508 32
8320 5505 46
10800 5502 59
13000 5500 71
15500 5498 85
17700 5497 97
20180 5497 111
22620 5493 124
24820 5491 136
27300 5490 150
29500 5487 162
32000 5487 175
34460 5485 189
36660 5481 200
39160 5480 214
41320 5478 226
43780 5478 240
46260 5475 253
48460 5473 265
50920 5473 279
53080 5471 290
55560 5468 304
57980 5466 317
60160 5463 328
62620 5463 342
64800 5462 354
67300 5460 367
69760 5458 381
71980 5456 393
74400 5453 406
76600 5453 418
79060 5450 430
81500 5451 444
83680 5451 456
85980 5448 468
88120 5446 480
90580 5441 493
93060 5438 506
95220 5438 518
97680 5437 531
99880 5433 542
102360 5427 555
104800 5433 569
106980 5431 581
109480 5432 594
111680 5426 606
114100 5425 619
116580 5422 632
118760 5422 644
121200 5418 657
123400 5416 668
125800 5416 681
128280 5413 694
130480 5412 706
132920 5412 719
135120 5406 730
137580 5408 744
140080 5407 757
142280 5402 768
144680 5402 781
146880 5400 793
149320 5397 806
151780 5396 819
153980 5398 831
156320 5390 843
158500 5387 854
160920 5385 867
163400 5385 880
165580 5383 891
168020 5381 904
170200 5381 915
172760 5381 929
175160 5377 942
177300 5376 953
179800 5375 966
182220 5373 979
184400 5370 990
186900 5366 1003
189080 5366 1014
191520 5363 1027
193980 5362 1040
196180 5360 1051
198620 5356 1064
200780 5356 1075
203280 5353 1088
205700 5351 1100
207920 5348 1112
210380 5347 1125
212560 5345 1136
215000 5343 1149
217480 5342 1162
219660 5342 1173
222100 5337 1185
224260 5335 1196
226480 5333 1208
228960 5332 1221
231120 5331 1232
233600 5326 1244
235820 5327 1256
238260 5323 1268
240680 5321 1281
242900 5320 1292
245300 5317 1304
247500 5316 1315
249920 5313 1328
252400 5311 1340
254580 5310 1352
257080 5308 1365
259260 5303 1375
261700 5302 1387
264180 5298 1400
266320 5298 1411
268780 5296 1423
270960 5292 1434
273400 5291 1447
275860 5288 1459
278060 5287 1470
280500 5283 1482
282680 5283 1494
285120 5280 1505
287580 5277 1517
289760 5277 1529
292200 5273 1541
294400 5270 1551
296800 5268 1564
299200 5265 1575
301380 5265 1587
303860 5260 1598
306000 5258 1609
308480 5255 1621
310920 5253 1633
313120 5251 1644
315520 5248 1656
317800 5245 1667
320200 5243 1679
322660 5241 1691
324820 5237 1701
327300 5235 1713
329500 5232 1724
331900 5230 1736
334320 5225 1747
336500 5225 1758
338960 5221 1770
341100 5220 1780
343580 5216 1792
346000 5212 1804
348200 5210 1814
350660 5208 1826
352780 5205 1836
355260 5202 1848
357720 5200 1860
359920 5196 1870
362320 5193 1882
364380 5190 1891
366780 5188 1903
369200 5183 1914
371380 5181 1924
373860 5177 1935
376260 5175 1947
378420 5172 1957
380900 5168 1969
383080 5165 1978
385500 5161 1990
387960 5156 2000
390180 5156 2012
392500 5158 2025
394760 5156 2035
397200 5151 2046
399620 5141 2055
401780 5137 2064
404220 5132 2074
406400 5131 2085
408800 5126 2095
411200 5121 2106
413400 5120 2117
415880 5115 2127
418020 5110 2136
420520 5105 2147
422900 5100 2157
425100 5100 2168
427500 5091 2176
429700 5087 2186
432120 5082 2196
434420 5077 2205
436580 5075 2215
438980 5067 2224
441180 5065 2234
443600 5061 2245
446060 5053 2254
448200 5048 2263
450720 5041 2272
452860 5037 2281
455260 5031 2290
457680 5023 2299
459900 5021 2309
462300 5012 2317
464460 5005 2324
466960 4997 2333
469360 4988 2341
471500 4981 2349
473920 4975 2357
476120 4957 2360
478460 4956 2371
479260 4953 2374
479660 4948 2374
480080 4947 2375
480400 4945 2375
480800 4943 2377
481180 4940 2377
481500 4940 2379
481880 4936 2379
482180 4940 2382
482500 4938 2383
482600 4925 2377
482580 4927 2378
482580 4942 2385
482580 4933 2381
482580 4932 2380
482580 4932 2380
482580 4930 2379
482580 4926 2377
482580 4942 2385
482580 4921 2375
482580 4938 2383
482600 4921 2375
482560 4927 2378
482580 4931 2379
482580 4931 2379
482560 4927 2377
482580 4928 2378
482600 4933 2381
482480 4925 2376
482580 4921 2375
482580 4930 2379
482560 4926 2377
482560 4926 2377
482560 4926 2377
482560 4927 2378
482580 4926 2377
482580 4920 2374
482580 4927 2378
482580 4917 2373
482560 4926 2377
482560 4922 2375
482560 4922 2376
482560 4923 2376
482560 4921 2375
482580 4922 2375
