current voltage power
60 5501 0
1260 5497 7
3760 5496 20
5980 5492 33
8480 5491 46
10980 5490 60
13180 5488 72
15720 5486 86
17860 5485 98
20320 5481 111
22800 5478 125
25000 5477 137
27420 5476 150
29660 5476 162
32120 5471 176
34600 5471 189
36800 5467 201
39320 5465 215
41480 5466 226
43900 5461 240
46420 5461 253
48600 5458 265
51080 5456 278
53220 5456 290
55700 5452 303
58160 5451 317
60320 5448 329
62800 5447 342
65000 5445 354
67460 5442 367
69920 5442 380
72120 5440 392
74560 5436 405
76780 5436 417
79220 5433 430
81660 5430 443
83860 5430 455
86120 5427 467
88300 5425 479
90760 5426 492
93220 5421 505
95400 5421 517
97860 5418 530
100080 5416 542
102480 5417 555
104960 5416 568
107160 5413 580
109600 5406 592
111820 5406 604
114260 5403 617
116720 5401 630
118900 5401 642
121360 5396 655
123520 5395 666
126060 5391 679
128480 5391 692
130600 5392 704
133120 5390 717
135280 5383 728
137760 5386 742
140220 5377 754
142420 5380 766
144820 5377 779
147020 5376 790
149480 5372 803
151960 5371 816
154160 5362 826
156480 5368 840
158660 5365 851
161080 5365 864
163560 5360 876
165720 5358 888
168180 5356 901
170380 5353 912
172900 5350 925
175300 5348 937
177480 5348 949
179960 5345 962
182380 5342 974
184560 5338 985
187060 5336 998
189220 5335 1010
191680 5332 1022
194120 5331 1035
196320 5328 1046
198800 5326 1059
200960 5323 1070
203460 5322 1083
205860 5318 1095
208080 5315 1106
210500 5315 1119
212700 5312 1130
215160 5310 1142
217620 5306 1155
219800 5305 1166
222260 5302 1178
224460 5301 1189
226680 5298 1201
229120 5293 1213
231280 5292 1224
233800 5290 1236
235960 5285 1247
238400 5283 1259
240920 5281 1272
243080 5278 1283
245480 5276 1295
247680 5273 1306
250120 5271 1318
252560 5267 1330
254760 5265 1341
257220 5262 1353
259400 5260 1364
261860 5257 1376
264320 5253 1389
266500 5250 1399
268960 5248 1411
271100 5243 1421
273580 5242 1434
276020 5238 1446
278200 5236 1456
280700 5232 1469
282860 5228 1479
285280 5226 1491
287720 5222 1503
289920 5218 1513
292380 5216 1525
294580 5212 1535
296980 5210 1547
299380 5207 1559
301560 5201 1568
304020 5196 1580
306180 5195 1591
308600 5192 1602
311100 5187 1613
313300 5183 1624
315700 5180 1635
317900 5176 1645
320380 5172 1657
322800 5167 1668
325000 5163 1678
327460 5160 1689
329680 5156 1700
332060 5151 1710
334500 5145 1721
336680 5140 1730
339160 5138 1742
341280 5132 1751
343780 5130 1763
346200 5122 1774
348380 5127 1786
350900 5115 1795
352960 5108 1803
355460 5103 1814
357900 5093 1823
360080 5080 1829
362500 5080 1841
364580 5077 1851
367000 5072 1862
369460 5065 1871
371580 5060 1880
374020 5051 1889
