current voltage power
60 5447 0
1460 5441 8
3960 5438 21
6180 5436 33
8680 5435 47
11160 5431 60
13320 5428 72
15880 5427 86
18060 5423 98
20520 5421 111
22980 5420 124
25180 5416 136
27660 5413 149
29860 5413 161
32360 5410 175
34800 5408 188
36980 5406 200
39460 5400 213
41660 5401 225
44120 5397 238
46600 5396 251
48760 5390 263
51260 5390 276
53380 5388 287
55820 5386 300
58320 5381 314
60520 5375 325
63000 5377 339
65180 5375 350
67600 5370 363
70100 5366 376
72300 5365 388
74720 5362 400
76960 5362 412
79400 5360 425
81860 5353 438
84020 5355 450
86320 5351 462
88520 5350 473
90920 5338 485
93400 5337 499
95600 5343 511
98060 5333 523
100220 5335 534
102700 5332 547
105160 5327 560
107320 5326 572
109800 5322 584
112060 5321 596
114460 5317 608
116980 5315 621
119120 5312 633
121580 5308 645
123720 5303 656
126220 5302 669
128660 5298 682
130820 5296 693
133300 5291 705
135500 5288 716
137980 5286 729
140420 5281 742
142620 5277 752
145060 5275 765
147200 5272 776
149720 5267 788
152180 5262 800
154380 5260 812
156680 5257 824
158880 5253 834
161300 5250 847
163780 5246 859
165920 5240 869
168400 5237 882
170580 5231 892
173120 5227 905
175560 5223 917
177700 5218 927
180160 5215 939
182660 5210 951
184800 5207 962
187280 5200 973
189500 5196 984
191900 5190 996
194420 5185 1008
196580 5180 1018
199020 5173 1030
201200 5170 1040
203700 5161 1051
206120 5155 1062
208360 5150 1073
210780 5141 1083
212980 5136 1094
215420 5130 1105
217900 5122 1116
220080 5113 1125
222520 5105 1136
224700 5095 1145
226960 5087 1154
229400 5078 1165
231580 5068 1174
234100 5056 1184
236260 5042 1191
238700 5028 1200
241180 5008 1208
243400 4988 1214
245820 4960 1219
248020 4930 1223
250560 4885 1224
253000 4823 1220
