current voltage power
80 5373 0
1600 5366 8
4100 5363 22
6360 5360 34
8860 5361 47
11280 5348 60
13520 5345 72
16060 5338 86
18220 5343 97
20700 5338 110
23160 5333 123
25360 5331 135
27800 5327 148
30000 5326 159
32500 5322 173
34960 5316 186
37160 5315 197
39600 5308 210
41820 5305 222
44280 5300 235
46800 5298 248
48960 5293 259
51500 5291 272
53600 5286 283
56060 5281 296
58480 5277 308
60700 5272 320
63200 5268 333
65380 5265 344
67800 5261 356
70280 5255 369
72480 5250 380
74900 5245 393
77120 5240 404
79580 5236 416
81980 5230 429
84260 5223 440
86520 5220 451
88700 5212 462
91180 5207 474
93660 5201 487
95820 5193 497
98260 5188 510
100460 5180 520
102920 5175 532
105380 5166 544
107520 5158 555
110060 5150 566
112260 5142 577
114700 5132 589
117200 5122 600
119380 5112 610
121820 5100 621
124020 5088 631
126480 5072 642
128920 5058 652
131160 5043 661
133620 5021 671
135860 4997 679
138360 4967 687
140860 4923 693
143080 4871 697
145600 4773 695
