current voltage power
80 5310 0
1720 5301 9
4260 5297 22
6480 5293 34
8960 5290 47
11460 5282 60
13680 5278 72
16180 5271 85
18360 5268 96
20800 5263 109
23280 5256 122
25500 5252 134
27920 5246 146
30160 5241 158
32680 5236 171
35120 5228 184
37320 5222 195
39720 5216 207
42000 5208 218
44400 5202 231
46920 5193 244
49120 5187 255
51580 5181 267
53720 5172 278
56200 5160 290
58660 5151 302
60900 5145 313
63360 5133 325
65580 5122 336
68000 5107 347
70500 5095 359
72680 5073 368
75120 5065 380
77320 5051 390
79860 5026 401
82320 4998 411
84460 4967 419
86800 4927 428
89060 4877 434
91580 4803 440
