current voltage power
60 5470 0
1360 5463 7
3880 5462 21
6120 5460 33
8580 5457 46
11080 5455 60
13280 5452 72
15780 5451 86
17980 5448 98
20420 5447 111
22880 5446 124
25100 5443 136
27580 5441 150
29760 5438 162
32280 5436 175
34700 5433 188
36980 5431 200
39380 5428 214
41600 5427 226
44020 5423 239
46520 5421 252
48700 5420 264
51200 5418 277
53360 5416 289
55800 5413 302
58260 5411 315
60480 5408 327
62900 5408 340
65120 5403 352
67580 5403 365
70060 5405 378
72220 5397 390
74680 5393 403
76880 5392 414
79320 5391 427
81780 5391 440
83960 5388 452
86260 5387 464
88420 5382 476
90880 5375 488
93320 5375 501
95520 5373 513
97920 5377 527
100100 5366 537
102620 5367 551
105080 5363 563
107280 5362 575
109760 5360 588
111960 5363 600
114360 5353 612
116860 5352 625
119020 5352 637
121480 5350 650
123660 5345 661
126120 5342 674
128560 5340 686
130780 5337 698
133200 5336 711
135400 5331 722
137880 5328 735
140360 5327 747
142560 5325 759
144980 5321 771
147180 5317 782
149600 5315 795
152080 5313 808
154280 5311 819
156620 5306 831
158720 5305 842
161180 5302 855
163700 5297 867
165820 5297 878
168320 5293 891
170480 5290 902
173020 5286 915
175460 5282 926
177600 5281 938
180100 5277 950
182520 5275 963
184700 5271 973
187180 5267 986
189400 5263 997
191800 5261 1009
194320 5257 1021
196460 5255 1032
198960 5250 1044
201100 5247 1055
203580 5245 1068
206020 5241 1079
208220 5235 1090
210680 5232 1102
212860 5228 1113
215320 5226 1125
217820 5218 1137
220000 5216 1147
222400 5213 1159
224600 5207 1169
226820 5205 1180
229280 5200 1192
231420 5196 1202
233920 5192 1215
236120 5187 1225
238520 5183 1236
241000 5176 1247
243200 5171 1258
245660 5167 1269
247820 5161 1279
250280 5156 1290
252720 5151 1302
254900 5143 1311
257380 5140 1323
259600 5133 1332
262020 5128 1344
264500 5120 1354
266820 5123 1367
269160 5102 1373
271280 5101 1384
273760 5090 1393
276180 5077 1402
278400 5075 1412
280880 5066 1423
283060 5056 1431
285500 5046 1440
287960 5031 1449
290160 5017 1456
292600 5002 1464
294820 4988 1470
297220 4966 1476
299660 4938 1480
301820 4908 1481
304360 4862 1480
306500 4788 1468
