current voltage power
60 5417 0
1480 5410 8
4000 5411 21
6260 5405 33
8720 5401 47
11220 5400 60
13420 5398 72
15960 5393 86
18100 5391 97
20580 5388 111
23060 5390 124
25280 5377 136
27680 5381 149
29920 5377 161
32400 5375 174
34860 5368 187
37020 5376 199
39520 5368 212
41700 5365 223
44180 5363 237
46660 5358 250
48860 5355 261
51360 5345 274
53500 5353 286
55960 5345 299
58420 5345 312
60620 5341 323
62980 5337 336
65200 5335 348
67680 5331 361
70180 5328 374
72360 5326 385
74800 5321 398
77020 5320 409
79480 5315 422
81920 5313 435
84100 5307 446
86400 5306 458
88560 5302 469
91060 5300 482
93480 5295 495
95680 5291 506
98120 5287 519
100300 5283 530
102780 5280 543
105220 5276 555
107420 5272 566
109900 5270 579
112100 5265 590
114520 5263 603
117000 5257 615
119200 5253 626
121620 5247 638
123820 5245 649
126300 5238 661
128720 5233 673
130920 5230 685
133380 5225 697
135580 5221 708
138060 5217 720
140520 5210 732
142720 5206 743
145160 5198 754
147360 5196 765
149800 5187 777
152260 5182 789
154460 5177 799
156820 5171 811
158980 5162 821
161420 5156 832
163880 5150 844
166080 5142 854
168520 5138 866
170720 5130 876
173260 5121 887
175660 5107 897
177880 5103 908
180360 5098 919
182780 5072 927
184880 5063 936
187380 5048 946
189680 5035 955
192100 5015 963
194600 4991 971
196780 4965 977
199280 4926 982
201480 4885 984
204020 4805 980
